key,date,article_daily_id,title,text
20070809-0,20070809,0,天才家庭　哥哥12歲入牛津9歲神童讀浸大,天才家庭　哥哥12歲入牛津 9歲神童讀浸大 【本報訊】繼14歲女神童何凱琳成為最年輕會考九優狀元後，一名年僅9歲、極具數學天份的香港神童，今年在英國應考了會考及高考，取得本港大學入學資格，近日向本港多間大學申請入讀本科，暫獲浸會大學數學系給予條件性取錄。如無意外，這名數學神童9月份將由一名小六學生躍升成大學生，創本港先河，成為年紀最細的大學生。據悉，香港大學、中文大學及科技大學亦有意加入戰團搶收小神童。記者：梁美寶、盧文烈 據悉，該名9歲男生姓沈（Boedihardjo），原與父母及兄長居於本港，父親是印尼華僑，為一名商人，母親是香港人，為家庭主婦。兄弟兩人曾於本港國際學校就讀小學，由於他們天資聰穎，在香港讀書時已曾多次跳級。  知情人士說，沈童的父母均是資優人士，故誕下長子時，已特別留意兒子的情況，結果長子年幼時已被發現在數學上極具天份，結果長子就讀國際學校時不斷跳級，12歲時報考了英國高考，取得佳績，約三年前獲牛津大學取錄入讀數學系。  由於家境較富裕，為了方便長子入讀大學，沈氏夫婦遂舉家遷往英國居住，並替幼子在英國報讀小學。據知，沈童父母發現幼子也如長子一樣，極具數學天份，去年底便替他報考英國會考（GCSE）及高考（GCEA-level），希望幼子也可提早入讀大學，去年底及今年初並向本港多間大學作非聯招申請，包括科大數學系、港大理學院、中大數學系及浸大數學系等。 港大中大　也在處理 有大學人士透露，沈童近日從英國返港，手持英國會考的優異成績單，7月底及本月初往各大學面試，其成績初步符合入讀大學的條件，現時尚在等候英國高考放榜，經面試後，他暫獲浸大數學系給予條件性取錄。浸大發言人接受本報查詢時稱，正審慎處理他的申請。  港大教務長韋永庚昨晚亦表示，今年2月已收到該名9歲童報讀理學院的申請，其英國會考成績已達校方要求，目前仍在等候他在英國高考的成績是否達標，校方要求至少兩科高級程度（AL）和一科高級補充程度（AS）科目達E級或以上。他強調，港大不設入學年齡限制，若他獲得取錄，料將是本港最年輕大學生。  有傳中大已拒絕神童的入學申請，不過發言人否認，並說校方仍在處理有關申請，現正等待其英國高考成績；中大稱，透過非聯招途徑入學需通過面試。科大數學系副教授馮志雄早前接受本報查詢時證實，已收到該名九歲男童的申請，但詳情不願透露，據悉，該童經面試後，科大暫不打算取錄該名學生。  本港各大學歷年取錄年紀最小的學生為15歲、16歲，如科大去年破格取錄年僅16歲的「星之子」陳易希，引起各界關注。其實，海外大學取錄年幼神童的例子更多，韓國05年有一名8歲男童屬物理天才獲大學破格取錄。美國亦有一名11歲男童獲加州大學取錄。 神童小檔案 香港人  姓沈（Boedihardjo）    家庭背景  *父母均屬資優人士，父為商人，母為主婦    教育背景  *自幼被父母發現資優，屬數學天才  *今年報考英國會考及高考，並在會考中取得佳績  *現獲浸會大學數學系給予條件性取錄 各國天才入學紀錄 南韓：金恩榮，智商達210，未到15歲已取得美國科羅拉多州立大學物理學博士學位 中國：北京少年王逸南03年隨父母移居英國，14歲入讀牛津大學，成為牛津史上第二名最年輕的學生 英國：女童勞倫斯（RuthLawrence）11歲考入牛津大學，19歲取得博士學位    印度：圖爾西（TathagatAvatarTulsi）10歲取得大學科學學士學位，12歲碩士畢業，現年20歲在印度科技學院擔任高級科學研究員    印度：賈斯沃爾（AkritJaswal）11歲獲旁遮普邦大學取錄，成為印度歷來最年輕的大學生    美國：現年22歲的卡尼（MichaelKearney）10歲在南阿拉巴馬大學取得人類學學位，14歲取得化學碩士學位，17歲取得電腦科學碩士；16歲已在大學任教    資料來源：《蘋果》資料室
20070809-1,20070809,1,北京奧運倒數今年8月8日8時8分　明年8月8日8時8分揭幕,"北京奧運倒數 今年8月8日8時8分　明年8月8日8時8分揭幕 【北京直擊】昨晚8時零8分，當北京天安門廣場東側的倒計時牌跳出距離奧運揭幕還有366日時，廣場上發出震耳欲聾的歡呼聲，璀璨的煙花盛放在金碧輝煌的天安門城樓兩側，那是13億中國人對奧運盛事的期待、呼喚；國際奧委會首次在舉辦國而不是在瑞士洛桑總部，向世界各地的奧運代表發出邀請函，那是揭示中國向世界展示五千年文化傳統的北京奧運進入最後的籌辦階段；由港人創作、中港台130多名歌手合唱的歌曲《WeAreReady》（我們準備好了）是昨晚的主旋律，那是舉一國之力辦好奧運的宣示。六年前，北京申奧成功時是「今夜無人入睡」；六年後，奧運倒計時一年之夜是舉國歡騰。　本報記者 「天安門地區戒嚴了，今晚有活動，不准進去，裏面的人也要轟出來！」昨日下午4時左右，大批武警、公安開始封鎖天安門廣場周邊地區，在南池子大街站崗的武警大聲吆喝。長安街雖然仍允許車輛通行，但天安門附近不准停車，連巴士、地鐵都要飛站。不少沒有邀請函的遊客、市民聚在戒嚴區邊守候，前門大街街口人數最多，因為這裏可以看到天安門廣場內的特大屏幕電視，在最近的距離看到現場直播。  5、4、3、2、1，當時針指向2007年8月8日8時8分，天安門煙火噴放，舞蹈演員開始載歌載舞，舞台中央底燈呈火燄型流動，一個以「北京邀請世界」為主題的奧運晚會正式掀起高潮，北京市長王岐山隨即宣佈，頒發明年北京奧運邀請函儀式正式開始。言畢，手持各個國家及地區旗幟的隊伍，隨即陸續出場。 發出奧運會邀請函創紀錄 8時38分，國際奧委會主席羅格在天安門廣場向世界發出參加明年北京奧運會的邀請函：「我們向各國家和地區奧委會發出參加北京2008年奧運會的邀請，這些奧委會的數量如此之多，創造了新的紀錄。」他隨後親自向希臘，英國，俄羅斯等各個國家和地區奧運會代表，發送北京奧運會的正式邀請函。而全國人大委員長吳邦國發言稱，在各方面密切配合與共同努力下，北京2008年奧運會一定能夠再創國際奧林匹克運動新的輝煌。  晚會在晚上7時，由主持人楊瀾和朱軍宣佈2008奧運會倒計時一年慶典正式開始。當中，楊瀾一身大紅晚裝最為奪目。而主持人更以普通話，英文和法文三種語言，向全國13億人民作直播。中外多個藝術團體和歌唱家、藝術家如鋼琴家郎朗，坐在紅色的大鋼琴前，與中國愛樂樂團、中國交響樂團等合作，演奏長達六分多鐘的《黃河．第四樂章》。隨後的男女高音演唱《相聚北京》，更掀動了在場觀眾的熱烈情緒。而中港台歌星聯手合唱的北京奧運倒數主題曲《WeAreReady》亦首次亮相，晚會在9時20分正式結束，但現場一萬多名來賓，興奮的心情仍未見平復。大家相約在明年8月8日8時8分，奧運揭幕式見！ 《WeAreReady》一遍又一遍 昨日所見，來自全國各地的遊客，對北京奧運進入倒計時一年早已充滿期望和關注，京城的大街小巷也充滿節慶氣氛。在王府井路口的奧運會特許商品旗艦店，昨日一早就有市民前來搶購限量2,008個的倒計時一年紀念章。帶兒子前來的趙先生說，這是第一次買奧運產品；花110元買了個紀念金幣的姚小姐說，她已報名當奧運志願者。  在王府井、東單、西單等遊客聚集的地方，街頭的大屏幕電視，夜晚都直播廣場的慶祝活動，日間則不停地播放由香港人金培達、陳少琪創作的奧運倒計時一年主題曲《WeAreReady》：「一分一秒的等待，這刻終於到來，漫天燦爛的煙花，在驕傲地盛開，這個民族已經準備好，帶着笑容來向你問好，讓全世界的目光，降落在我們的懷抱。」  一遍又一遍的《WeAreReady》歌聲，似乎正極力向世界說明，北京這個曾為遼、金、元、明、清五朝之都的古城，已滲入以英語為代表的國際文化；街上隨處可見的奧運五環旗和中國的五星紅旗，想表達的是北京這個正以排隊日、派發無數文明禮儀小冊子重建市民道德觀的都會，已準備好向全世界的遊客重現中華是禮儀之邦；的士上規勸司機「勤刷牙、勤洗澡、勤更衣」的告示，讓人有心酸的感覺，也讓人感受到他們準備改變生活方式以適應奧運需要的誠意。 港滬天津秦皇島同步倒數 「WeAreReady」是一種願望。1993年9月23日，北京第一次申辦奧運失敗，那種藉舉辦奧運以洗刷近代中國百年屈辱的願望更為強烈；2001年7月13日，北京取得2008年奧運舉辦權後，那種向世界展示中國的五千年文化、展示中國的實力和影響力的願望更為急切。昨晚同時舉行的香港「京港心連心」、上海「五環明珠夜」、天津「四季夢幻」、秦皇島「巨龍昂首」等慶祝倒數一年的活動，在奧運史上是絕無僅有的，正顯示中國當局準備辦好奧運的決心。  「WeAreReady」是一種期待。北京斥資2,944億元人民幣新建12個、改建擴建11個體育場館及相關配套設施，可望到明年3月全部竣工。至於官方提出的「綠色奧運、科技奧運、人文奧運」，與其說是北京奧運的三大理念，不如說是中國希望借奧運的平台，展現現代社會對環保、科技發展和以人為本的夢想。雖然，北京市民和海內外遊客對北京的空氣污染情況仍有怨言，但官方昨日強調，北京藍天日數比2000年多了17%，空氣質素連續六年改善。  「WeAreReady」是一種夢想。2005年6月26日，即北京奧運倒數1,100天之際，官方公佈奧運的口號：「同一個世界，同一個夢想」（OneWorldOneDream）。奧委會會歌昨晚在北京天安門廣場奏響時，穿着白色制服的旗手在紅地毯上揮舞各國各地的奧運會旗幟時，當羅格向部份奧運代表團發出邀請函時，天安門廣場作為中國政治心臟的色彩似乎淡化。 北京奧運未來一年工作 2007年底  北京奧運村竣工    2008年初  公佈21,880名奧運火炬手名單    2008年3月  最後竣工的奧運場館鳥巢完工    2008/03/25  在希臘奧林匹克山採奧運火種    2008/03/25至05/03  北京奧運聖火於境外傳遞，途經5大洲、22個城市（台北市尚未確定）    2008/05/04至08/08  北京奧運聖火於中國境內傳遞，途經31省市    2008上半年  奧運會頒獎禮儀服裝公佈、賽程公佈    2008/08/08  北京奧運開幕    資料來源：中國奧委會官網（ http://www.olympic.cn） "
20070809-2,20070809,2,報讀女拔萃未取錄　會考卻一鳴驚人女神童掃走天水圍悲情,報讀女拔萃未取錄　會考卻一鳴驚人 女神童掃走天水圍悲情 【本報訊】中學會考昨日放榜，香港史上最年輕的9優狀元何凱琳接過成績單後透露，9歲時曾投考傳統著名英中拔萃女書院，惟校方以她居於天水圍為由而將她拒諸門外，她遂欣然轉投中中東華三院盧幹庭紀念中學，終以14歲之齡奪佳績而一鳴驚人。這名智商高達130的「天水圍女神童」立志要做一名好醫生懸壺濟世，出身基層家庭的凱琳昨日吐氣揚眉，將天水圍的「悲情」一下子掃走。　記者：梁美寶　黃嘉寶　吳嘉文　佘慧紅 上月才剛滿14歲的何凱琳出身基層家庭，父母均於內地出生，只得初中程度；父親是任冷氣技工，母親為家庭主婦，兩人昨日表現極低調，不願多談背景。何媽媽說，14年前懷胎九月過關來港，一個月後誕下凱琳，三口之家原於元朗朗屏邨公屋居住，數年前遷往天水圍的居屋屋苑。  雖然家庭清貧，但何氏夫婦在女兒半歲至1歲時已發現她絕非池中物，天資聰穎，記憶力強，且過目不忘，他們遂盡心栽培女兒，包括發現她是資優兒童後，即讓她在小學跳級兩次，又經常買新書、教材讓女兒學習。節儉的何媽媽、何爸爸，即使收入微薄，也要努力栽培女兒，新年不添新衣也不在乎。何太坦言：「為咗畀佢讀書，由佢3歲開始，我哋會每月儲500蚊，等佢將來讀大學時用。」  凱琳從沒介意家境欠佳，她說：「上次食魚翅、燕窩都唔記得係幾時，亦從來無試過一家人一齊去第二度旅行。」她還很感謝父母盡心的關懷、愛護，嚐到父親烹煮的菜餚已感到很滿足。 一隊老師跟進成長 凱琳報讀中一時，何媽媽專程帶着她由天水圍往佐敦的拔萃女書院面試，惟終未獲取錄。凱琳憶述，面試時女拔萃的老師問當年只有9歲的她：「你咁細個，住天水圍搭車咪好遠？每日都要花好多時間搭車？」凱琳答：「是。」不久，何家獲女拔萃通知凱琳未獲取錄。本報昨日向拔萃女書院查詢當時為何不取錄凱琳，但未獲回應。  雖被名校拒諸門外，但幸而何媽媽也不希望女兒讀書壓力太大，故統一派位時獲第二志願的盧幹庭紀念中學取錄，仍欣然接受。凱琳說，她不介意就讀中中抑或英中，她也極愛目前的學校。事實上，該校知悉她是資優童後，成立了一隊老師小組跟進其個案及替她補習，同時有老師為她跟進成長、與同學相處的情況等。當她完成中一後，校方替她評核後讓她由中一跳級至中三。 打算在原校升中六 凱琳昨日在同學們、老師們的歡呼聲、掌聲下，取得9優成績單，她開心得難以言語，連聲向身邊友伴、老師道謝。她打算於母校讀畢中六後，再透過拔尖計劃升讀大學醫科。  「我之前睇過作家金鈴一本書，講一個醫生為咗錢而將一啲藥畀貧窮嘅病人食，導致佢哋腦幹死亡，再將佢哋內臟出售，呢啲事令我好髮指。所以我立志要做一個用心去關心病人嘅醫生，救助貧窮人。」凱琳的英文名為「Phoenix」，是鳳凰的意思，即如《哈利波特》小說中的鄧不利多的鳳凰，其眼淚可以治病，她也希望可以如小說的鳳凰一樣，為人治療傷痛。 特稿：悲情社區卧虎藏龍 因發生多宗家庭慘劇及暴力事件，被形容為悲情社區的天水圍，終獲平反。今屆會考14歲9優神童何凱琳，一家三口居於天水圍。有區議員及校長表示，事件為社會帶來一個正面訊息，即使是發展未如市區般成熟的新市鎮，亦是卧虎藏龍，隱藏了很多社會精英，只要有機遇及空間，一定有所作為，名氣響徹全港。 肯努力一定有成就 位於天水圍的香港中文大學校友會聯會張煊昌中學校長伍德基表示，雖然天水圍以往曾發生不幸事件，但不少學者及區外人士到訪後，都對天水圍生活環境、空氣及風土民情讚嘆不已；香港大學社會科學院曾進行研究，發現天水圍的青少年問題，甚至較市區為少。去年天水圍也有學生在會考中奪得優異成績，顯示該區是一個卧虎藏龍的地方。  他指，區內部份市民的生活雖較一般水平為低，部份有才華及能力的學生，可能連參加課外活動或到市區行街的車費也沒有，這或會阻礙他們擴闊眼界的機會，但何凱琳9優事件給予區內居民很大的鼓勵，只要肯努力，一定有成就，更為社會帶出一個正面訊息，支持天水圍發展。  元朗區區議員周永勤表示，何凱琳的優異成績反映天水圍隱藏很多優秀青少年，只是未有空間發展。  本報記者
20070809-3,20070809,3,伊院幼嬰遭重複打針,伊院幼嬰遭重複打針 【本報訊】伊利沙伯醫院再被揭發醫療事故，一名初生男嬰一周內兩度被注射卡介苗疫苗，疑護士在未清楚核對男嬰的醫療紀錄便為他注射，幸未有危害生命。  被誤打兩針的男嬰去年8月在伊院出生，翌日護士為他注射預防肺癆的卡介苗疫苗，男嬰因健康問題須入住深切治療部，但六日後深切治療部的護士竟再為男嬰注射卡介苗疫苗，男嬰的病人紀錄也清楚有兩次注射日期。  事件懷疑是有關護士未有清楚核對病人紀錄，便為男嬰注射疫苗，其母批評事件「個護士好離譜」，擔心對孩子造成後遺症。兒科醫生指出，重複注射介卡苗疫苗的危害性不大，但若打錯其他針，後果可以很嚴重。伊院發言人證實有關事件。
20070809-4,20070809,4,神童傳奇：數月大已流露天才本色2歲懂九位乘九位數　上學五年內三次跳級,神童傳奇：數月大已流露天才本色 2歲懂九位乘九位數　上學五年內三次跳級 IQ爆棚的女神童何凱琳智力及語言能力發展速度驚人，4個月大便懂得說話、2歲半能背誦唐詩三百首，兼曉計算九位乘九位的算術。在一生平凡的父母何氏夫婦眼中，誕下天才女兒形同奇迹，何媽媽笑言：「以我同佢爸爸咁嘅資質，竟然生到個天才，我哋自己都好驚訝！」 2歲半背唐詩三百首 何媽媽家鄉在貴州，何爸爸家鄉在恩平，平日他們說苗族話及鄉下話，粗略翻查祖宗各代，近代沒有出現過天才。何媽媽坦言，凱琳出生數月已發現她是天才，其智力較同齡的兒童高出多倍。  何媽媽對天才女兒印象最深的是，凱琳約4個月大時，「已經喺度叫Daddy、Mummy，同一啲好簡單嘅說話。1歲時未識得爬就已經識企同行。去到1歲半，已經識得講好多中文短嘅句子，同開始睇唐詩，兩歲半，佢已經背晒唐詩三百首，仲識好多中文字，嗰時我知個女係好叻，同好鍾意睇書。」凱琳2歲已懂得計九位乘九位的算術，九因歌更是琅琅上口，4歲時數學已達小學三、四年級程度。  何媽媽憶述，在凱琳2歲時帶她往健康院作身體及智力檢查時，當凱琳看到A字，即可自行說出Apple整個字，看到B字即能說Boy等字，如此類推，可以由A數到Z，在場的健康院職員也忍不住說：「佢係天才呀，佢嘅智力最少達3、4歲。」何爸爸和何媽媽都不諳英文，相信女兒是聽錄音帶及看書而自行學會。 邊打機可背誦英語 凱琳3歲時，其一名從英國回港的表姐說教她英文，但愛玩GameBoy的凱琳沒有理會表姊，只叫表姊讀出來即可，她會記着，何媽媽說：「結果佢只係喺度打機，表姊一邊讀，之後佢竟然可以一字不漏讀番出嚟，同識晒啲英文字。」  本報記者 何凱琳IQ爆棚 4個月大（93年7月出生）：懂得說話，例如爸爸、媽媽及簡單對答    1歲：未識爬行，突然懂得走路及站立    1歲半：懂得說簡單中文句字；父親用啤牌洗牌，凱琳能準確背出所有啤牌；在健康院體檢時，已能說出A至Z的生字，如Aforapple、Bforboy    2歲：懂背九因歌乘數表；能計算到九位乘九位的算術    2歲半：背畢唐詩三百首；懂得寫中文及詩句    3歲：玩GameBoy時，聽一次錄音帶即能背出英文書的所有內容    6歲：接受教育局資優課程；首次跳級，由小一跳小三    7歲：確定為資優童，證實其IQ達滿分130以上；同年由小三跳至小五    9歲：小學畢業兼升讀中一    10歲：讀畢中一跳級至中三    13歲：應考會考    14歲：取得9優佳積，成為本港年紀最輕的9優女狀元    資料來源：何凱琳及其父母
20070809-5,20070809,5,四代同堂　身體健康女人瑞疑自覺「阻碇」107歲吊頸死,四代同堂　身體健康 女人瑞疑自覺「阻碇」107歲吊頸死 【本報訊】活了超過一個世紀，經歷了中國百年動盪的一名107歲女人瑞，她四代同堂身體健康，擁有令人羨慕的長壽，但她卻厭倦再活下去，以感覺自己「阻碇」向家人透露死意，昨趁同住的兒媳及孫兒外出，穿着四套衫褲及鞋襪在房間碌架床，用腰帶吊頸自殺，結束自己的百年壽命。記者：冼偉倫 自殺女人瑞梁巧，生於清光緒26年，目不識丁，生前與87歲姓莫兒子，八旬媳婦及一名60餘歲孫兒，同住油麻地廣東道820號唐樓大安樓6樓一個400多呎的三房單位，梁婆婆獨住一房碌架床下格，上格床用來擺放雜物。  現場消息稱，梁婆婆雖已是百多歲的老人，但一向身體健康，行動自如，少有病痛，只是最近患上傷風感冒，看醫生服藥後已無大恙，而她一向生活得很開心，與家人相處融洽，過去未有聽聞過她有尋死念頭。 突然反常穿數套衣服 直至數日前，梁婆婆突然出現異常的行為，平時夏天她都是簡單衣服穿着拖鞋或赤足在家走動，但最近大熱天時，她卻穿上三至四套衣服及鞋襪在家，與家人聊天時曾透露「自己年紀咁大，感覺好阻碇。」似暗示想死，但家人以為那句話只是老人家心情差隨便說說，未有太在意。  昨日梁婆婆的兒媳及孫兒先後離家外出，至下午5時53分，婆婆的80多歲兒子回家不見母親，開門入房查看，赫見母親頸纏一條腰帶吊掛在碌架床上格處，大驚立刻致電兒子代為報警，但他因年老無力將母親救下。警員及消防救護員到場後，即時剪斷腰帶將梁婆婆救下，惜已返魂乏術。  警方調查認為死因無可疑，懷疑老人家對生命感到厭倦，不想活得這麼長命，遂以死求解脫，趁家人外出在房間吊頸自殺。 孫女稱祖母性格開朗 梁婆婆有一子一女，7名孫兒女及多名曾孫，其中一名孫女事後趕返協助父母處理祖母自殺事件，並向記者縷述人瑞祖母生前一些逸事。梁婆婆孫女說：「嫲嫲四代同堂，活到百幾歲，佢身體一向冇乜問題，可以自己行路，但因住在唐樓6樓要行樓梯，好唔方便，所以嫲嫲好少落街，只喺屋企走動。」  談及祖母長壽之道，孫女說：「嫲嫲為人性格開朗，食嘢好清淡，另外嫲嫲長命相信與家族遺傳有很大的關係，因據她所知，嫲嫲嘅親弟也活至90多歲……。」 港百歲人瑞逾700名 據去年底一項非正式統計，本港目前約有700名年逾百歲人瑞，而人瑞自殺事件近年也有發生，其中一人為易學大師黃柏齡的105歲母親余玉好，因患有心臟病、血壓高及行動不便，不忍成為年老兒子的「包袱」，於05年1月底在北角健康街住所飲消毒火酒自殺，送院搶救後不治。另在06年7月及04年10月，兩名年齡99歲姓廖老翁及99歲姓吳老婦分別跳樓及吊頸自殺亡，兩老均沒特別病痛，其中吳婦生前曾向家人透露自己年紀越來越大，不想再活下去。 長者自殺徵兆 1.失眠、無胃口，體重下降    2.情緒低落，對日常活動失去興趣，刻意孤立自己    3.無緣無故哭泣及感到沮喪    4.將個人心愛物件送贈別人，或趕着完成私人事務如取消銀行戶口    5.常說「自己無用、唔想連累人」等，暗示厭棄生命的說話    資料來源：生命熱線
20070809-6,20070809,6,特稿家人一句話可化解危機,特稿 家人一句話可化解危機 「老弱患病、身體機能退化都令長者飽受煎熬，家人、親友若能送上關懷，就如一服心靈雞湯為長者孤獨心境添上溫暖！」107歲女人瑞吊頸身亡，再次反映本港長者自殺問題嚴重。預防自殺機構生命熱線服務運作經理吳志崑指病患、孤獨及哀傷都是長者自殺主因，呼籲市民留意家中長者情緒變化，千萬不要吝嗇時間跟他們傾談，可能一句說話已可化解危機。  據死因裁判報告，去年有369名60歲以上長者自殺身亡，佔全年死亡人數三分一，吳志崑稱近年機構接獲長者自殺求助個案增加。他指，走到接近生命盡頭，長者的生活態度最重要，若能視與兒孫相處為福氣，相信可以樂觀面對病患，有需要人士可致電該會「珍愛生命熱線23820881求助。  香港大學防止自殺研究中心臨床心理學家黃蔚澄補充，得享高壽長者可能經歷同齡親友、老伴及子女過世等殘酷現實，但家人往往以為長者閱歷豐富，處理哀傷經驗老到，其實哀傷情緒正是對長者構成沉重壓力，家人關愛是最好支持，若長者與家人不睦，可參加長者中心活動釋放情緒。本報記者
20070809-7,20070809,7,凱琳望讀醫港大中大歡迎沙士英雄沈祖堯邀參觀醫院,凱琳望讀醫港大中大歡迎 沙士英雄沈祖堯邀參觀醫院 【本報訊】對於年僅14歲的何凱琳有意大學時修讀醫科，有開辦醫科的香港大學和中文大學都表示，年紀較小不是問題，只要她在面試期間表現成熟、有責任心、視救人為終身職業，便有機會獲取錄。凱琳欣賞的沙士英雄、中大醫學院內科及藥物治療學系主任沈祖堯表示，若凱琳有興趣，他會親自帶她「行吓醫院」，了解醫院的實際情況。 醫科生須思想成熟 中大醫學院院長霍泰輝表示，醫生需要接觸病人，所以醫科生必須有成熟的思想和表現，「唔能夠幼稚，呢點同年紀無關。」符合尖子成績要求的學生，也必須通過面試才獲得取錄，院方也會參考中學校長等人士的推薦。每年中大醫學院125名新生中，有30、40人是尖子，他說以往曾有10A生不獲取錄。港大教務長韋永庚稱，校方曾取錄15歲內地生。  凱琳表示欣賞沙士英雄沈祖堯，沈教授也十分讚賞凱琳，「佢咁細個又咁叻，又識諗做醫生係要服侍貧苦，的確係好難得。」沈強調，「學醫最重要係有顆真心，否則好難捱。」沈祖堯說，聽凱琳的談吐，認為她心智相當成熟，建議她選擇8年制的博士醫學課程，既可當醫生也可做科研；若凱琳明年入讀中大醫學院，將是該院最年幼的醫科生。 可望21歲執業行醫 何凱琳上月剛滿14歲，若她透過尖子計劃在明年升讀大學醫科，修畢5年制醫科學士課程和完成一年實習後，2014年便可執業做醫生，屆時她才剛滿21歲。
20070809-8,20070809,8,嫌課程淺常講話　幼稚園5天輟學凱琳媽媽土法教出天才,嫌課程淺常講話　幼稚園5天輟學 凱琳媽媽土法教出天才 【本報訊】千里馬常有而伯樂不常有。智商超過130的凱琳，其幼稚園生涯只有五天，她被老師及同學視為「搗蛋精」，何媽媽深知女兒天資聰穎，有感正常的教育制度只會埋沒女兒天份，毅然替女兒輟學，索性以土法親自教導女兒兩年多，讓這位天才自行發揮。女兒會考奪佳績，其實得來不易，何媽媽坦言香港缺乏培訓資優童的機制，或已令許多天才被埋沒。　記者：倪清江、鍾穎兒、陳文俊、梁嘉熙 何媽媽表示，因凱琳的智商較同齡學生發展得快及成熟，其他幼稚園學生仍在學「1+1=2」時，凱琳已經學會了九因歌及九位數乘九位數。由於凱琳感到課程太淺，上幼稚園課堂時經常說話，令老師及同學感到不滿，不斷向何媽媽投訴。「佢只係返咗五日幼稚園，老師就已經同我講話佢頑皮到不得了，凱琳話識九個9字乘九個9字係幾多，個老師點都唔信，嗰條數用計數機都唔夠位計，要用電腦先計到，結果凱琳真係心算到出嚟，但老師當佢亂講。」  她坦言，現時香港沒有足夠資源讓資優學生發揮，有些老師還往往誤以為資優童是頑童，幸而女兒在小學及中學遇到伯樂，被發現是資優童，繼而獲得重點培訓，才能取得會考9優的佳績。 母女邊溫習邊傾偈 為免女兒的天份遭埋沒，何媽媽最終不讓女兒讀幼稚園，每天由她以土法親自教授，為時整整兩年。她謙稱沒有特別教法，只是她與丈夫均是新移民，在香港沒有親友，只是一名家庭主婦的她幾乎花了所有時間專心教女，還經常買一些合適的教材、書籍及錄音帶，輔助女兒學習。  何媽媽又在電視機旁邊貼了一張寫滿九因歌的雞皮紙，「希望佢睇電視時都會睇吓，點知佢兩歲幾已經識晒，我都好驚訝！」同時，何媽媽認為用心與女兒談天，是教女最有效之法，所以每當女兒溫習時，她總會在旁與女兒談一些風馬牛不相及的話題，如看到報章新聞，即問問女兒看法，笑言「就算一邊做會考pastpaper，我哋都係咁一邊傾偈，同佢講時事，總之唔想佢讀書咁緊張。」 清淡飯盒每天送到 何媽媽又多年來風雨不改，親自送飯盒往學校給女兒，「雖然飯餸好清淡，只係有啲菜同肉，但因為冇味精同煎炸嘢，營養好多，呢樣都緊要，因為佢（會考）要讀10科。」她更說，順道亦可看到女兒與同學相處情況。  凱琳認為，母親的特別教學法對她幫助極大，她更愛與母親分憂，藉此減壓，她從不覺母親囉唆麻煩。談及讀書心得，與一般年輕人一樣愛打機、上網、寫網誌的凱琳表示，最重要是早睡早起，故她每天5時起床，至晚上10時半睡覺，確保以最佳狀態上學及溫習。  就讀中四時，凱琳中文科作文考試曾不及格，後來知道自己中文不夠好，遂趁暑假每天作文及看書，中五上學期中文作文終獲得改善。任教其英文科的蘇老師說，凱琳中四時，英文水平未達C級，後來將勤補拙，最終獲得5級，並晉身狀元之列。
20070809-9,20070809,9,全球最老女人瑞114歲,"全球最老女人瑞114歲 【本報訊】港人長命世界知名，目前全港最老的人瑞，相信是已屆110歲，居住在大嶼山神樂院的高思謙神父。他曾表示，信仰是他養生秘訣，除了祈禱外，吃得清一些，少吃一點，以及不抽煙、不生氣、不斷運動等等，就是他的長壽秘訣。 102歲女人瑞一桿入洞 根據維基百科資料顯示，美國是現今世界上最多人瑞的國家，在2005年有55,000人，其次是日本，有25,000人。目前獲健力士世界紀錄大全確認，仍在世的全球最老人瑞是日本114歲女人瑞YoneMinagawa（皆川瑤子）。但另有報道指，現時全球最老人瑞為烏克蘭一名116歲男人瑞HryhorityNestor（涅斯托爾）。  最為人熟悉的人瑞，相信是日本一對名叫成田金及蟹江銀、人稱金婆婆與銀婆婆雙胞胎姊妹，兩人先後於2000年及2001年去世，終年107歲及108歲。  本港政府統計處最近發表的人口推算，估計30年後，65歲的長者將達86萬人。  今年4月有報道稱，美國加州一名身體壯健的102歲女人瑞EliseMcLean，與朋友一起打高爾夫球時，她竟然打出一桿入洞，打破2001年美國一名101歲男子一桿入洞的紀錄。"
