key,date,article_daily_id,title,text
20110818-0,20110818,0,戀絲襪男專獵空姐網頁上載偷拍相加淫句　國泰港龍報警,戀絲襪男專獵空姐 網頁上載偷拍相加淫句　國泰港龍報警 【本報訊】一名疑有絲襪癖好的網民，在其個人網頁上載逾百張本地空姐的照片，大部份聚焦空姐的長腿，有的是空姐出入香港機場的照片，有的是空姐坐巴士時睡覺的照片，部份更為偷拍裙底相。相中人多是穿黑絲襪的港龍空姐，也有些是國泰空姐。戀絲襪男更在相旁配上其幻想杜撰的淫褻情節，如虛構強姦相中人等，令人惡心。有相中受害空姐得知被網上凌辱後情緒不穩。港龍和國泰均證實，已就事件報警。記者：韓耀庭、盧文烈 戀絲襪男成立了兩個網頁，分別上載了約80張港龍空姐相和約30張國泰空姐相。記者進入上載了港龍空姐照片的網頁，即見一港龍空姐與衞生巾的合成照，十分騎呢。有一張照片是空姐坐在機艙椅上戴上安全帶，本來正經的照片卻被加上「空姐坐在××輪姦椅」。又像寫鹹濕小說般虛構情節：「那個安全扣是解不開的……褪下佢對黑色絲襪……」，有些字句更是露骨惡心。據一位認識相中空姐的港龍員工透露，相中人數月前發現事件後，情緒不穩，大哭了三日。 空姐：我哋估到係邊個 另一張是「低炒」空姐裙底。其他照片包括空姐在機艙的工作照、出入機場大堂或乘搭交通工具照片，大部份似是偷拍，不少對準空姐下半身，聚焦穿黑絲襪的長腿。有一些相片是空姐們在機艙、停機坪和酒店等自拍或合拍的留念照，估計網主是未經相中人同意下，從她們的社交網頁戶口取來。 根據網主上載照片的時間顯示，首個網頁早在08年開始運作。至於上載了國泰空姐照片的網頁則今年6月才運作。網主又上載了早前曝光的國泰空姐跟機師的口交照片。有網民上周瀏覽該網頁後留言自稱是照片中人的朋友，指網主未經當事人同意上載有關照片，當事人已報警，並要求網主盡快移除照片。但網主留言回覆，不認為上載照片違法，更指該些照片並非版權物品，反問為甚麼要先獲相中人同意才可上載，拒絕移除。 據了解，港龍空勤人員協會約兩星期前得悉事件，即時向公司管理層反映及求助。港龍本月初已就事件報警。消息指，部份員工對網主的身份心中有數，推測此人是一眾受害港龍空姐一名共同認識的男性網民，此人愛到機場流連，「佢經常喺facebookadd啲空姐，但啲空姐其實同佢一啲都唔熟」。空姐又確定，網頁部份照片是網主從空姐facebook賬戶偷取得來，部份則是他從其他成人網頁收集得來。「其實我哋估到係邊個，但為免走漏風聲，阻礙警方調查，所以唔可以講太多。」 工會：唔好做啲無聊嘢 港龍航空發言人接受查詢時表示，就互聯網上流傳針對機艙服務員的不雅言論，已報警調查，暫不適宜作任何評論。港龍強調向來關心員工，注重員工形象、安全及福祉，絕不會漠視任何員工受到無理的對待、批評或傷害。 國泰航空發言人回應稱，公司早前已知悉該網頁的存在，並已報警處理，對事件不作評論。國泰空中服務員工會主席黎玉嬋稱，近日有聽聞該網頁的存在，對網主行為表示反感，「空中服務員係正當職業，希望啲人唔好做埋啲無聊嘢」。警方發言人只回應，會了解事件。
20110818-1,20110818,1,立會料如期　10月遷添馬艦,立會料如期　10月遷添馬艦 【本報訊】立法會行政管理委員會昨天視察添馬艦新立法會大樓後決定，除非月底前大樓內的測試系統有問題，否則會如期在10月復會時遷入添馬艦。民主黨副主席劉慧卿強調會繼續跟進立法會外的交通及示威安排，希望當局在月底會議上積極回應。 除非系統測試出問題 近十名行管會成員及立法會議員昨天到添馬艦實地視察新大樓工程進展，署理行管會主席劉健儀會後稱，雖然目前工程並非百分百完成，但尚要改善的只是關乎燈光、枱角及通風等細微問題，而立法會秘書處日前已經成功展開系統測試；考慮到最重要的開會設施已經完備，行管會對稍後的「執漏」工作亦審慎樂觀，若截至月底前系統測試暢順，立法會將在10月新會期遷入添馬艦辦公。 外界關注的交通及示威問題，要留待行管會月底的會議討論。劉慧卿要求當局加開巴士線方便市民前往立法會，同時要求做好示威區安排，希望當局有所交代。由於劉健儀重申，議會能否暢順運作是搬遷與否的最重要考慮，預料當局屆時就算未就以上兩大問題有明確回覆，也不會阻礙立法會搬遷。 有議員擔心新裝修的大樓充斥甲醛等有害物質，政府官員回應稱，採用的建築物料不含甲醛；立法會也自行僱用了兩名地盤監督檢視新大樓工程項目，不擔心出現類似新政府總部被揭發的「豆腐渣」工程。
20110818-2,20110818,2,偷拍朋友妻冲凉認罪好色男自嘆毀廿年友誼,偷拍朋友妻冲凉 認罪好色男自嘆毀廿年友誼 【本報訊】有道是「朋友妻，不可窺」。一名家族經營餐廳的廚房工竟趁探訪老友期間，在他家浴室擺放數碼相機，拍攝老友同居女伴的出浴春光，胸部與下體一覽無遺，猶幸女事主及時揭發。涉案男子向警員坦承，因對老友女伴「有感覺」而犯案。他昨在觀塘裁判法院承認一項不誠實地獲益而取用電腦罪，求情指因好色留下案底及失去一段長達廿年的友誼。記者：楊家樂 案情透露，現年35歲的被告林思銳，自15歲起便已與較他年長一歲的范姓男子相識，多年來一直份屬好友。被告經常到訪范位於觀塘順安邨的寓所，而范任職文員的35歲女友亦同居上址。 即時寫下道歉書 今年4月4日晚上11時許，被告造訪並進入浴室數分鐘。待被告出來，女事主逕自入內打算洗澡。當她脫光衣服後，赫然發現一部黑色SONYMHS-PM5連4GB記憶卡數碼相機藏在水管後，鏡頭對準她。稍後，女事主拿着相機步出浴室，向男友展示。被告遭質問下，就擺放相機一事致歉。范拿出一本紅色記事簿，要求被告在簿內親撰道歉書。被告照做，承認偷拍女事主，然後急急離去，未有取回相機。 范與女事主稍後檢查相機，發現內有兩段共長8分鐘的錄影片段，一段是被告裝設相機的過程，另一段則拍到女事主脫衣過程，私處及乳房清晰可見。兩人於事發後三天報警。 警方翌日上門拘捕被告，他在警誡下坦承犯案只因對女事主「有感覺」，但強調只此一次。警方檢查其電腦，未發現事主裸照。 免事主出庭尷尬 辯方求情指，家住油塘的被告，本來在家族經營的餐廳任職廚房工作。但本年初餐廳倒閉，被告失業至今。被告今次因好色二字，既留下案底失去清白之軀，更痛失與案中范姓老友的20年友情。被告現已深感後悔，除向事主寫下悔過書，又即時認罪，以免事主出庭作供尷尬。 署任主任裁判官陳錦昌將案押後至本月31日，等候社會服務令始判。裁判官又謂本案不似攝製兒童色情物品的案件，「嗰啲嚴重啲，多數會即刻判監」，故會尋找相關案例作判刑參考。案件編號：KTCC4260/11 男子偷拍老友女伴洗澡示意圖
20110818-3,20110818,3,不誠實用電腦官質疑控錯罪,不誠實用電腦 官質疑控錯罪 【本報訊】案中偷拍老友女友的林思銳，被控罪名全稱為「目的在於使其本人或他人不誠實地獲益而取用電腦」。署任主任裁判官陳錦昌一度質疑控罪是否合適，主控官回應指根據過往法律意見，數碼相機可被視為與電腦有同樣作用，而以往亦有類似案件以相同罪名檢控。 律師梁永鏗對本報指，假若有人在街頭等公眾地方進行偷拍，可被控以破壞公眾體統罪（或作有違公德罪），是一項普通法罪行，沒有明文規定刑罰，法官可根據情況及案例判刑。犯案人亦可被控以遊蕩導致他人擔心罪，但控方必須證明其行為令事主受驚才可入罪。梁又謂，涉及私人地方的偷拍行為，過往並無相關法例禁止，難以作出檢控。惟近年控方可利用與本案相同的控罪，只要犯案人是以電子系統或智能手機等數碼器材作偷拍工具，可被視為使用電腦。不過梁坦言，假若有人使用菲林或錄影帶等傳統非數碼器材在私人地方偷拍，法例難以規管。
20110818-4,20110818,4,明愛輸錯血　病人腦出血,明愛輸錯血　病人腦出血 【本報訊】公立醫院再發生病人輸錯血的嚴重事故。一名64歲女病人於明愛醫院做手術後需輸血，但化驗室職員在配血過程中沒有清楚核對病人姓名，將兩名病人的配血結果對調，令該女病人的血型由原來B型錯調為A型。病人翌日腦出血，轉送廣華醫院後，事件才被揭發。有醫生表示，病人腦出血不排除由輸錯血引致，情況嚴重可能會致命。 調亂兩人化驗結果 明愛醫院表示，一名64歲女病人因脊柱側彎症及腰椎狹窄於本月9日入院，本月15日接受椎板鬆解及腰椎融合手術。她手術後情況不穩定，送往深切治療部留醫，需用呼吸機協助呼吸，及於15日深夜11時許至16日凌晨輸血，輸了兩包共640毫升的A型血。16日早上，該女病人接受緊急腦部電腦掃描，顯示她腦出血，中午被轉送廣華醫院腦外科接受緊急手術。廣華為她配血時發現她屬B型血，與明愛的配合結果不符，於是通知明愛。 明愛病理學部門覆核後，懷疑是化驗室職員沒有核對清楚病人的姓名，在配血過程中將兩名病人的化驗結果調亂，以致該女病人輸錯血；另一病人則毋須輸血及已出院。輸錯血的女病人仍在廣華深切治療部留醫，情況嚴重。 據了解，輸錯血後病人未有出現血壓下降、呼吸困難及敏感等典型不良反應，反而血壓上升；加上她已插喉，或因而未能表達不適，明愛的醫護人員未有察覺。 明愛醫院表示，有關化驗室職員暫時調離配血的崗位及需輔導，但未能交代涉及多少名職員。院方已向家人交代事件及致歉，並會成立調查小組，6至8周內完成調查。 血液及血液腫瘤科專科醫生麥耀光表示，病人輸錯一包血會即時出現不良反應，醫護人員會立即停止輸血，今次輸錯兩包血，份量屬於多。B型血病人會有A型血抗體，輸入體內的A型血會「溶晒」，亦會令凝血功能失調，引致休克及腎衰竭，不排除間接引致腦出血。輸錯血病人可於一至兩日內因嚴重不良反應而死亡，估計今次病人輸錯血直接引致的問題已處理；但腦出血可引致昏迷或身體癱瘓，嚴重可致命。 香港醫務化驗學會教育部主委李偉振表示，一般配血程序需兩名職員最少核對兩次，除用電腦核對病人表格及樣本上的條碼外，亦要用肉眼核對。病人互助組織聯盟副主席張德喜表示，院方必須細仔檢討化驗室工作流程，避免同類事件再發生。
20110818-5,20110818,5,失誤頻頻08年輸錯血險殺BB,失誤頻頻 08年輸錯血險殺BB 公立醫院近年屢次發生輸錯血嚴重事故，今次更延誤公佈事件，廣華醫院在16日即周二發現明愛輸錯血，但醫管局在事發第三天即昨午被傳媒踢爆後，才於晚上公佈。另一宗同時延誤公佈的嚴重輸錯血事件在08年於伊利沙伯醫院發生，險令一名早產嬰兒喪命。 五天後才公佈 該宗事故發生在08年7月18日，一名原本要輸O型血的早產男嬰因血液配對出錯，被錯輸10毫升B型血，險與體內的B抗體相撞。幸好院方即日覆驗血液樣本時揭發事件，檢查證實男嬰未有不良反應或併發症。該院在同月23日、即足足事隔五天才對外公佈事件，當時院方解釋是須配合初步調查。 另一宗嚴重輸錯血事故於07年10月發生，聯合醫院一名化驗師將73歲老翁及24歲貧血產婦的血液樣本調亂，導致毋須輸血的老翁無辜輸血600毫升，貧血產婦則延誤輸血至少10小時。 此外，醫管局08年曾在《風險通訊》中自爆一宗輸錯血事故，一名護士「擺烏龍」將病人甲的血液樣本寫成病人乙，並錯印電腦標籤，引致一條龍出錯，醫生其後錯向病人乙配血及輸血，化驗結果顯示病人乙輸血後身體狀況有異，醫生覆核病人的病歷後才揭發事件。 《蘋果》記者
20110818-6,20110818,6,擔憂考首屆文憑試英皇生跳樓死,擔憂考首屆文憑試 英皇生跳樓死 【本報訊】「我今年想好努力讀書」。將於暑假後升讀中六、成為三三四新高中學制下首批中學文憑試考生的英皇書院男生，疑不堪讀書壓力導致鬱鬱寡歡，昨清晨在柴灣杏花邨姨媽的住所露台一躍而下，直墮地下奄奄一息。保安員聞巨響發現報警，惟救護員趕至證實他當場死亡。死者的父母及姊姊趕至認屍，其母親哭至肝腸寸斷軟跪地上叫喊：「我個仔嚟㗎。」令聞者心酸。 暫居姨媽家溫書 死者黎倬健（17歲），在名校英皇書院讀中五，有修物理及地理等科，暑假後即將升讀中六，成為三三四新高中學制下首批中學文憑試考生，疑因此承受極大壓力。英皇書院校長陳胡美好得悉事件後心情沉重，她形容死者為一名好學生，成績中等，在該校由中一讀至中五。校方已聯絡死者家人，家人均非常傷心。 據悉，倬健性格文靜乖巧，間中會與友人到網吧打機減壓。他與父母及姊姊居於半山列堤頓道，由於近日住所正進行裝修，為有寧靜的環境讓倬健溫習，家人提議他暫時搬往姨媽位於杏花邨的住所暫住。倬健在姨媽住所努力溫書，直至昨凌晨時分，與姨媽傾談亦無異樣。 昨清晨5時許，倬健於姨媽在42座的住所露台，攀越約3呎高的玻璃欄河一躍而下，直墮地面，保安員驚聞巨響走出查看發現報警，救護員趕至證實事主經已死亡，警員用帳篷遮蓋死者。警員及後登門調查，黎的姨媽始知他跳樓自殺。 現場未撿獲遺書 稍後，警方聯絡死者的父母及姊姊乘的士趕至現場認屍。黎母未及認屍已當場失聲痛哭，身體發軟雙腳跪在地上呼喊：「我個仔嚟㗎！我個仔嚟㗎！」要由女警在旁安慰，死者的姊姊亦在一旁哭得歇斯底里。死者的51歲父親，強裝堅強走近帳篷認屍，當警員揭起帳篷時，由警員搭着膊頭安慰的黎父呆望兒子遺體，似未能接受事實，再俯身辨認兒子容貌，確定兒子身份。最後，死者父母及姊姊一行三人互相搭住肩膊扶持離去。警方在現場未有撿獲遺書，初步調查後相信事主因讀書壓力不開心而輕生。 學友社學生輔導中心總幹事列豪章稱，新學制取代以往兩個公開試，「實際上學生只得一次考核機會，如果考試唔理想，升學機會就減低」。列續指，新高中三年制課程並非容易，名校生「身邊同學嘅學習動機好強，如果表現唔夠理想好容易會自卑，產生比較而令壓力增加，可能頂唔順」。列續稱，新學制「消極來講學生係白老鼠、積極嚟講佢哋係開拓者」，建議學生可參考過去公開考試試題，和參加校內及校外的模擬考試，熟習考試環境。
20110818-7,20110818,7,青少年自殺兩年升兩成,青少年自殺兩年升兩成 【本報訊】柴灣17歲少年昨跳樓身亡，其實香港青少年自殺率近年有上升趨勢，於兩年內上升逾兩成。有專家指青少年傾向選擇跳樓這個自殺方式，「好大可能係一時衝動，先會揀呢個咁致命嘅方法」。 香港撒瑪利亞防止自殺會自殺危機處理中心主任香慕茵指，去年10至19歲青少年的自殺率，相比08年時增加百分之24，反映青少年自殺數字有上升趨勢，值得關注。她說面對新高中學制，學生與教師同樣面對壓力，她指香港學生現時升讀大學機會增加，學生的壓力或會相對增加：「機遇多咗，學生可能會諗：『如果我都上唔到大學，咪好有問題囉？』」 香慕茵提醒青少年，現今網上世界資訊發達，但亦存在很多鼓吹自殺的負面訊息，青少年要學懂判斷及分析內容，「做個醒目嘅網絡使用者」。如需求助，可在網上平台 http://www.help4suicide.com.hk與社工傾訴。 
20110818-8,20110818,8,特稿失業四年　妻子養家,特稿 失業四年　妻子養家 蘇有恆自捲入非禮案而辭職後，四年多來一直「失業」，他昨表示辭職初期曾應徵其他小學校長空缺，但不獲聘用，又稱已花掉120萬元支付連串官司律師費，有經濟壓力，現時主要返教會，又做義工探病人。雖已脫罪，但他表明無意重返教育界。 蘇有恆已婚育有一對子女，任職教育界30年，失業後，其任職小學教師的妻子成為家庭經濟支柱。按他追討兩個半月的半薪總額7.8萬元推算，他當時任校長的月薪約為6.2萬元。他昨透露已提走公積金中自己的供款部份。 仁愛堂田家炳小學在蘇有恆擔任校長時期，有狀元小學稱號，因該校在04年於全港性系統評估（TSA），中英數三科均有逾九成學生達標。但成也TSA敗也TSA，按他過往說法，因被教育局揭發教師在TSA作弊，才引發出非禮案，他形容是一場「宮廷政變」。 《蘋果》記者
20110818-9,20110818,9,電腦節$1一部iPad2,"電腦節$1一部iPad2 【本報訊】暑假最後一個大型展覽會電腦通訊節，明日起在灣仔會議展覽中心舉行。大會以抗通脹招徠，推出近3,000件「潮筍」電腦數碼產品以1元發售，首日更破天荒以1元售賣蘋果iPad2，旋即吸引約10名巿民昨晚通宵在會展外輪候。大會預計四天人流逾70萬人次，營業額3億元，較去年增加半成。 通宵排隊頭位爭拗 本報昨晚所見，已有近10名巿民在會展外排隊，希望可購得限量1元產品。排頭位的陳先生稱，昨午1時已到場排隊，希望購買1元iPad2。排第二位的鍾先生更動員一家四口輪候，目標也是1元iPad2，他指陳先生排錯位，他才是排第一位，雙方就排位發生爭拗。 主辦單位電腦商會主席梁定球指出，通脹升溫，股市波動，大會遂推出「潮筍廊計劃」，發售近3,000件最潮電腦數碼產品，以最筍價1元發售，頭炮是首日以1元售賣原價3,888元的蘋果iPad2，限售兩部。 當日1元產品還有PSN遊戲、8GB記憶卡、高清數碼收音機等，「我哋每日派600幾個籌，消費者憑籌購買1蚊產品。每日貨品都唔同，會早一日喺大會網頁公佈」。 今屆也會展示最新研發的產品，科研公司Keysquare首賣智能手機遙控機械人iDROID。發言人Roy表示，玩家可透過智能手機或平板電腦操控機械人，會場以半價限售500件。 首次參展的PlayStation首賣價值11萬元的「GT5極致豪華駕駛艙」，套裝包括可呈現180度畫面的五面屏幕顯示器、豪華軚盤組合、專業賽車椅及藍光5.1音響組合等。發言人Joanna稱，每日限售一部，下周一起PS3主機會減價13%發售。 電腦通訊節2011 日期/時間：8月19-21日(10:00am-9:30pm)/8月22日(10:00am-6:00pm) 地點/入場費：灣仔會展一號展覽廳/20元 首日$1產品： iPad216GBWiFi版（2件）、PSN遊戲（60件）、8GB記憶卡（20件）、數碼收音機（150件）、8GB手指（30件）、頸鏈耳筒（60件） 網址： http://www.hkccfexpo.com  資料來源：香港電腦商會"
