key,date,article_daily_id,title,text
20070126-0,20070126,0,妮歌撞車入院,"妮歌撞車入院 現年39歲的澳洲國寶女星妮歌潔曼（NicoleKidman），自去年6月下嫁同鄉音樂人KeithUrban後，倒楣事接踵而至，先有酗酒丈夫屢次進出戒療所，後來其夫又被揭與脫衣舞孃有私情，前日妮歌在洛杉磯拍攝新片時又遇上嚴重交通意外，要即時送院檢查，足以證明婚後的她頭頭碰着黑。 四年前憑電影《此時．此刻》（TheHours）榮獲奧斯卡影后殊榮的澳洲女星妮歌潔曼，近日以從影以來最高片酬的1,700萬美元（約1.32億港元），接拍改編自經典科幻片《天外奪命花》（InvasionOfBodySnatchers）的新作《TheInvasion》。洛杉磯時間周四凌晨約12時半（即香港時間前日下午約4時半），妮歌乘坐一輛由吊車載着的積架房車，拍攝一場被外星喪屍追逐的戲份時，不幸發生車禍。 直擊車禍 意外過程網上任人睇 據路透社報道，當日妮歌拍攝的戲份，是講述她駕駛一輛左軚積架汽車，在夜寂街上飛車擺脫對她窮追不捨的外星喪屍。為了配合拍攝，當時妮歌所乘坐的汽車，是安置在一輛拖車尾後的車架上，約10人的攝影隊在拖車上進行拍攝，四名扮演喪屍的特技演員則伏在積架車頂上，妮歌實際上只是乘客。怎料當拖車於洛杉磯的WestSixthStreet駛入Broadway區時，因轉急彎時跣胎，拖車連同妮歌乘坐的道具車同時被拋向路旁，撞上路旁的燈柱及商店鐵閘，現場登時火花及玻璃碎四濺，撞車巨響更令在場工作人員十分緊張。  據《UsWeekly》雜誌報道，事發時拖車的車速為72公里，幸好跣胎後拖車司機及時修正軚盤，撞向燈柱的只是積架汽車的車尾，妮歌所在的車頭位置未有直接受到撞擊，否則後果不堪設想。事發時有傳媒將撞車過程全程錄下，荷李活娛樂網站TMZ.com更第一時間將妮歌炒車的片段放到網站上。  從網上的肇事片段所見，意外發生後工作人員即蜂擁上前了解情況，幸好妮歌有佩戴安全帶，但車上兩名工作人員卻輕微受傷。而工作人員稍後拉起白布，讓妮歌避過傳媒鏡頭走出車廂，只見她下車時腳步浮浮，看似驚魂未定，看來已被突發的車禍嚇至花容失色。有傳妮歌的丈夫KeithUrban事發時也在現場，親眼目睹愛妻炒車經過。 身價非凡 保險公司隨時賠逾億 華納電影公司表示，妮歌與一行七名工作人員同被送到附近的Cedars-Sinai醫療中心檢查，妮歌證實無大礙。華納又發表聲明說：「妮歌於意外發生時坐在車上，她被送到醫院檢查後證實無礙，並已於不久後出院。當時除了妮歌並沒有其他演員在車上。」華納又強調妮歌將於翌日繼續拍攝工作。  其實現時身價非凡的妮歌一旦受傷，電影公司必定頭痛萬分。00年妮歌拍攝《情陷紅磨坊》（MoulinRogue）一場歌舞戲時，意外弄傷右膝，令她不得不辭演已開拍三星期的《房不勝防》（PanicRoom），最終她成功向保險公司索償300萬美元（約2,340萬港元）。由於《情》片因妮歌休息而延期，《房》片又要臨時找茱廸科士打（JodieFoster）頂上及重新拍攝，保險公司合共賠上6,100萬美元（約4.76億港元），可謂牽一髮動全身。如果妮歌在今次意外有任何損傷，保險公司需向她及電影公司賠償的金額，必定又是天文數字。  撰文：劉梓恩  妮歌車禍短片   http://www.tmz.com/2007/01/25/nicole-kidman-crash-caught-on-tape/  妮歌潔曼（NicoleKidman） 年齡：39歲  國籍：澳洲  事業：兩度獲提名奧斯卡影后，2003年憑《此時．此刻》（TheHours）奪奧斯卡最佳女主角獎  婚姻狀況：90年與湯告魯斯（TomCruise）結婚並領養一子一女，01年二人離婚，去年6月與澳洲鄉謠歌手KeithUrban再婚  身價：片酬1,700萬美元（約1.32億港元）"
20070126-1,20070126,1,歌神4月個唱泡湯耀榮轟阿Sam拒宣傳,"歌神4月個唱泡湯 耀榮轟阿Sam拒宣傳 歌神許冠傑行徑有幾怪？胞兄許冠文子女的婚宴他沒到，母親壽宴一樣不見蹤影，連舉行演唱會也拒絕宣傳。原定今年4月再開個唱的他，因向主辦機構耀榮公司提出不做任何宣傳的要求，「香港演唱會之父」張耀榮被激得生蝦咁跳，揚言隨時準備取消這個演唱會。 許冠傑（Sam）2004年復出樂壇舉行44場演唱會，場場叫好叫座，05年2月馬上添食，由於個唱舉行得太頻密，令歌迷失去了新鮮感，入座率自然下滑。今年阿Sam捲土重來，聯絡「香港演唱會之父」張耀榮為他主辦個唱。阿Sam原意是舉行10場演唱會，但耀榮只答允為他開八場，近日更有傳雙方因宣傳問題有爭拗，原定4月舉行的個唱面臨泡湯。 憂慮票房 「宣傳唔做風險好大」 其實近年頻傳阿Sam的行徑越來越怪誕，經常足不出戶，除了妻兒外，幾乎任何人也不想見，不但胞兄許冠文的子女擺結婚酒沒有到賀，連母親的壽宴一樣缺席，只派太太和兒子任代表。雖然阿Sam怕見人，但舉行個唱時站在台上可享受萬千歌迷擁戴，所以他明知前年演唱會反應麻麻，今年還是蠢蠢欲動，不過阿Sam卻向主辦商耀榮開出怪條件，聲明不會為個唱宣傳，令耀榮難以接受。  昨日張耀榮接受電話訪問時說：「𠵱家演唱會咁難做，如果歌星本身連宣傳都唔肯做，我真係擔心唔知啲飛點賣，阿Sam要求唔做記者會、唔出席慶功宴，訪問又唔願做，咁樣點搞呀？」  張耀榮開設耀榮公司主辦演唱會逾20多年，當中有不少演唱會均蝕本收場，但他從未想過放棄主辦演唱會，為何今次對阿Sam不肯宣傳會如此大反應呢？張耀榮解釋說：「好多朋友都勸過我，如果阿Sam連宣傳都唔做，風險會好大，叫我不如唔好做，咁我覺得啲朋友講得有理，所以佢堅持唔讓步嘅話，咁就算啦！」不過之前有報道卻指阿Sam嫌張耀榮太多錢債官司纏身，有意借勢飛起他。  其實張耀榮對經營演唱會的情意結極深，因當年華人歌星舉行演唱會的潮流乃由他一手開創，故經營演唱會這門生意如何艱難，他依然堅持下去，他說：「其實我搞咗咁多年演唱會，的確有心想幫個樂壇搞得興旺啲，所以明知近幾年搞演唱會冇乜錢賺，我都堅持做落去，好似早兩年阿梅臨死前曾經走嚟搵我，話希望喺死前可以開最後一次演唱會，如果我唔答應，佢話死都唔會眼閉，以我同阿梅嘅交情，佢講到咁，就算有幾多風險，我都要做，因為做人一定要有情有義嘅。」 感觸良多 「唔係個個歌星識感恩」 張耀榮感慨續說：「但有時唔係個個歌星識得感恩，有好多歌星嘅第一個演唱會都係由我搞，到人紅咗，又未必有我份搞，咁多年嚟，我覺得劉德華、陳慧琳同葉蒨文最有良心，咁多年嚟佢哋每次開騷都會預我一份。」  此外，張耀榮前晚出席蔡琴演唱會慶功宴時，提到早前遭時富投資公司以索償6,000萬元款項而申請他破產，又遭藝能娛樂（國際）有限公司，入稟高院追討82萬欠款而申請他旗下公司清盤，張耀榮表示不談時富案件，但他說：「藝能欠我百幾萬，係我畀錢佢哋投資嘅，都未計好，呢單嘢最好上法庭啦，到時畀律師處理，冇得庭外和解，佢哋都唔鍾意傾，等法庭判啦，3月先知結果。」  張耀榮又自言財政沒問題，他說：「我有兩個大老闆照住，就係何鴻燊同李嘉誠，我仲有樓，九龍塘嘅物業值成億幾，點會冇錢？」  採訪：葉雪、駱華齡  攝影：陳志嵐"
20070126-2,20070126,2,小豬喜甩蔡依林,小豬喜甩蔡依林 羅志祥（小豬）昨天在商台接受訪問，對於緋聞女友蔡依林被傳與台灣男歌手彭于晏在倫敦密會，他表示替朋友開心，並說：「如果真有這個事情就很好，以後的緋聞不關我事了。其實在蔡幫（蔡依林一眾朋友簡稱）中也有這個人，但她沒有告訴我甚麼，她一直想找個男朋友。」問小豬可會因二人分手不開心，他鬼馬的說：「你看我戴着墨鏡就知道啦！」 錫Fans怕嘴腫 另外，小豬今天會舉行簽唱會，他表示一直與歌迷打成一片，他說：「有歌迷到台灣罵我很少來香港，其實我有偷偷來逛街。我跟歌迷沒距離，有時候會叫我白癡仔。」問到會否獻吻或把自己送給歌迷來報答，小豬說：「不介意但要看情況，如果每個人都親，嘴會腫起來。」  採訪、攝影：王連連
20070126-3,20070126,3,陳錦鴻4月添丁,陳錦鴻4月添丁 陳錦鴻和港台前DJ杜雯惠的愛情結晶品將於4月出世，杜雯惠近日往醫生處檢查，獲悉腹中塊肉是男嬰，即將為人父的陳錦鴻難掩興奮。 入產房陪生仔 記者昨日致電陳錦鴻，他開心的說：「係呀，我哋好開心迎接BB到嚟，我都做定心理準備屆時陪太太入產房，睇吓佢嘅意願。」問到陳錦鴻怎樣照顧待產中的太太？他說：「我得閒咪去買餸煮啲家常便飯畀佢食，佢身體狀況都好健康。」  此外，杜雯惠自有了BB後已辭退了港台的工作，全面停工待產，陳錦鴻說：「太太生咗BB都會全職做媽咪，我到時更加要肩負一家之主嘅責任，賺多啲錢。」陳錦鴻透露已向無綫請假一個月，準備待太太生完BB後協助她湊仔。  採訪：比華利
20070126-4,20070126,4,魅力無國界　懶管舊情人官恩娜黑漢打孖昅　驚！,魅力無國界　懶管舊情人 官恩娜黑漢打孖昅　驚！ 官恩娜似乎特別容易招蜂惹蝶，而且不分國籍，前晚她穿上稍微低V的上衣出席巫雨平的新書宣傳派對，竟吸引兩位黑人注意，幸好兩位新擁躉沒有使出強吻招數，而是走近用眼睛吃冰淇淋，欣賞官恩娜的性感打扮。既然行情看漲，對於吳卓羲這位緋聞情人，官恩娜一於撇清關係，否認復合傳聞。 薛芷倫緋聞男友、大律師清洪契仔巫雨平最近推出音樂娛樂雜誌，前晚於跑馬地舉行宣傳派對，清洪、甘國亮、梁漢文、傅穎、薛凱琪、倪震及梁洛施等都有到賀。 自覺不算性感 當一眾名人明星陸續到場時，兩位黑人嘉賓一直拿着DV在門口拍攝，官恩娜一身低V黑衣到場，算是場內穿得較性感的女星，她擔心走光不停掩胸，狀甚狼狽，似乎因此吸引了兩位嘉賓的注意，當官恩娜在門外接受訪問時，兩位黑人竟走近站在其身旁，定睛欣賞，令官恩娜大感尷尬，事後她接受訪問，談到衣衫單薄時說：「我以為喺室內做訪問，點知係室外，所以着少咗衫，好彩我有帶外套。」  問官恩娜為何不停用手掩胸？她說：「又唔係性感，冇乜嘢影，安全為上先㩒住。」有指她與吳卓羲復合，同時又傳佘詩曼戀上吳卓羲，對此官恩娜即說：「復合唔係事實，其他人嘅嘢我唔方便回應，唔關我事嘅嘢都唔想知。」但聽語氣，官恩娜應已看了有關報道佘吳戀的雜誌，才有備而來。 讚祖名有風度 另外，薛凱琪早前被拍得與女伴於蘭桂坊夜蒲後，坐上緋聞男友房祖名的保母車離去，前晚她解釋：「佢好gentlement，見我哋三個女仔又咁夜，唔想搭的士，咪叫司機車我哋囉，當時佢都未走，後來佢想走，但架車又未返去，佢先至坐張柏文架車走。」  採訪：何永寧  攝影；陳志嵐
20070126-5,20070126,5,豪門少奶拖囝囝掃平貨吳雪雯下月再添寶寶,"豪門少奶拖囝囝掃平貨 吳雪雯下月再添寶寶 繼關秀媚和陳煒先後被踢爆蜜運後，另一位晶女郎吳雪雯年前嫁入豪門，和富商楊耀宗結婚兼誕下愛兒後，原來早前已再懷第二胎，發福不少的她上周挺住懷孕八個月的大肚子，親湊囝囝狂掃半價童裝。她能由昔日艷星變成當下的慳家少奶，其幸福生活，又豈會輸給李家新抱徐子淇？ 嫁入豪門是不少女星的終極目標，除了徐子淇外，前晶女郎吳雪雯五年前已與上市公司利豐雅印刷集團主席楊士成兒子楊耀宗結婚，婚後她絕不戀棧娛樂圈，大前年誕下囝囝後，更全面息影，專心相夫教子。  據知吳雪雯與楊耀宗婚後生活十分美滿幸福，難怪36歲的她要繼續造人，現時已懷有第二胎，預產期是下個月，故其腹中塊肉隨時搶閘做金豬BB。 玩具店揀積木 上周五下午約3時，大肚吳雪雯披大褸及長頸巾配牛仔褲，帶着兩歲多的囝囝和菲傭齊往銅鑼灣利園商場COMMECAKIDS童裝店掃貨，現場見肚大如籮的她出現孕婦常見的水腫，身形比前明顯發福。雖然囝囝在店內不停跑來跑去，但並無影響媽咪揀衫情緒，她揀好童裝後，懶入試身室的囝囝就在菲傭協助下即場剝褲，試穿新褲仔，場面惹笑。  吳雪雯千挑萬選下，才買了一件原價1,690的童裝羽絨褸、600多元的牛仔褲和一些雜物，半價後只需千多元。接着她再湊囝囝到玩具店，其子內進後一味掛住玩玩具，反之媽咪在店員介紹下揀積木，但最終不合心水而沒購買，看來這位豪門少奶甚知慳識儉，絕不是大花筒。 滿意婚姻生活 昨日本報致電吳雪雯，她透過電話承認再次懷孕，她說：「有咗八個月，我都冇做呢行咁耐，你哋唔好寫啦。」極低調的她僅稱下月是預產期，但拒透露BB性別，至於目前婚姻生活，她形容「幾好」。  其實吳雪雯當年出道憑純情外貌及一把烏黑長髮，成為少男殺手，她93年參演王晶監製電影《香港奇案之強姦》，片中大膽演出一度成為娛圈話題，但未幾即淡出幕前，婚後更近乎絕迹娛圈。  採訪、攝影：娛樂突發組"
20070126-6,20070126,6,舊愛小八卦：樂基兒、陳平治鬥快閃,舊愛小八卦：樂基兒、陳平治鬥快閃 官恩娜及薛凱琪前晚都忙於否認緋聞，同場也有幾對舊情人要使出法寶避合照，李樂詩與杜德智、樂基兒及陳平治這兩對舊情人，前晚分別一先一後到場，未知是否早知舊愛蹤迹，四人到場見記者如老鼠見貓，被叫住也只禮貌揮手打招呼，便匆匆入場，不接受訪問。關楚耀與衞詩這對緋聞男女也是前後腳到場，也沒有合照。
20070126-7,20070126,7,楊思琦、吳卓羲深圳突圍,"楊思琦、吳卓羲深圳突圍 楊思琦和吳卓羲日前出席TVB在深圳的首站特許影視形象店開幕，剛好《突圍行動》正在當地播映，所以兩人所到之處都極受巿民歡迎。  楊思琦和吳卓羲當日在場與fans分成兩組玩遊戲，不少fans更排隊和他們合照，之後兩人到影視店參觀，不少fans在門外守候，群情洶湧，吳卓羲笑說：「今次真係上演咗一次突圍行動！」  另外據多媒體音像業務部助理巿場業務經理王皓透露，預計今年內TVB將在國內建立超過1,000間特許影視形象店。撰文：葉雪"
20070126-8,20070126,8,陳鍵鋒捱凍拍劇頻叫苦,陳鍵鋒捱凍拍劇頻叫苦 陳鍵鋒最近正在橫店趕拍內地劇《最後的格格》，該劇預計在三月中煞科，在拍攝劇集期間，天氣變幻無常，一時放晴、一時下雨甚至落大雪，每逢早上開工拍外景，手腳都變得冰冷，不過說到最辛苦的時候，陳鍵鋒覺得是在夜間出外景時，因天氣太嚴寒，人也變得不想動。 擁高超武藝 在《最》劇中，陳鍵鋒飾演一位京劇武生，擁有高超武藝，在一次偶然機會下給他認識了格格霍思燕，兩人一見鍾情，但格格的雙親反對兩人相好。劇中陳鍵鋒需要應付不少動作場面，又要吊威吔，故沒有武功底子的陳鍵鋒，就不時擦損手腳。撰文：丁寧
20070126-9,20070126,9,王菀之凍到甩音,王菀之凍到甩音 王菀之前晚在尖沙嘴海港城露天廣場為無綫音樂台節目《LiveHouse》錄影，她的父母及好友森美、小儀都有出席支持，王菀之在節目內自彈自唱，大展歌藝。 手腳僵硬 王菀之有首歌曲《LoveHasItAll》是由其母填詞，故當晚其中一環節是安排她跟父母傾談，身為護士的王母說：「我超過百分百支持佢，自己好鍾意唱歌，不過細個年幼家貧就冇機會，所以都希望個女喺唱歌方面有好發展。」  由於錄影場地露天食風，當王菀之自彈自唱《我真的受傷了》時不慎甩音，她事後接受訪問時說：「因為露天，好凍，凍到手腳僵硬，所以先彈到有甩音，我以前未試過有甩音情況出現。」問她為何不見緋聞男友張敬軒蹤影，王菀之說：「佢唔喺香港，所以咪冇搵佢。」  採訪：卓美娟  攝影：陳俊強
