key,date,article_daily_id,title,text
20070802-0,20070802,0,瑪麗醫院醫生十年研究發現：打麻雀會癲癇,瑪麗醫院醫生十年研究發現： 打麻雀會癲癇 【本報訊】「三索！三索！三索！」一場竹戰，不但索錢，也可索命。瑪麗醫院一項研究發現，本港在過去10年，共有三宗由打麻雀突然引發的癲癇個案，三人是在打牌時痙攣「嘔白泡」；對岸的台灣，更有患者對「花花綠綠」的麻雀戀戀不捨，結果一年內病發30次，被迫告別四方城；但亦有人只是觀戰也病發。除了打牌，本港過往亦有因「刨馬經」、玩十五湖、捉象棋，甚至玩電腦麻雀引發的癲癇，原因是這些活動涉及大量腦部訊息的處理和輸出、記憶、專注、計算、推理、戰略等高階思維。記者：張嘉雯、許偉賢 負責該研究的瑪麗醫院腦內科副顧問醫生麥煒和解釋，「麻雀癲癇」是一種罕見的反射性癲癇症，屬於癲癇症的一種，「好似套戲《賭聖》入面，周星馳一叫『三叔』，吳孟達就會即刻抽晒筋，就係反射性癲癇症。」 藥效不佳　戒打才根治 本港及台灣過去分別有3宗及20宗個案，患者首次發病年齡由34至76歲，平均54歲，當中21人是男性，發病頻率由三年發病一次到每年30次，患者在開戰少於1小時至11小時內發作；當中三人除了打麻雀時發作外，玩象棋或啤牌亦會突然癲癇，研究結果刊於最新一期《香港醫學雜誌》。  麥煒和指，本港在1996年發現首個案例，患者是42歲男性，有20年「雀齡」，首次發作後入院，康復後因雀癮難耐，再次攻城，結果幾乎次次發作被迫收山。  另外兩病例同為男性，其中一名76歲男患者，1999年入院前三年內曾兩度發作，分別在洗牌、食唔出和叫糊時出事；兩年前一名曾兩度病發的39歲男子求診，他去年7月打了兩小時麻雀後失去知覺。  三人病發時並非睡眠不足或賭注過大，本身沒有任何神經系統毛病，亦沒有家族病史，「最好嘅方法係避免打，但有啲人好沉迷，情願食抗癇藥都要打，但係用藥效果唔係咁好。」三人雖沒有生命危險，但不想再「嘔白泡」，唯一方法只有與麻雀枱永別。 全無徵兆　病發嘔白泡 「事前完全冇徵兆，可以打咗幾十年麻雀都冇嘢，突然有事，好多病人自己都唔信㗎。」麥煒和指，病人發作時會失去知覺、手腳抽搐擺動、面色變紫藍，繼而口吐白沫、不省人事，一至兩分鐘後才慢慢蘇醒，由於患者不是在駕駛中、過馬路，或正在游水，相比其他類型的癲癇症患者安全。  麥煒和說，麻雀屬於高度認知的遊戲，涉及大量腦部訊息的處理，與睡眠不足、壓力大、注碼大有關係，與麻雀的圖案或引發的聲響無關。  所謂癲癇症，是腦部一定數量神經被同步激發，腦內的抑壓機制又失效，「好似水塘滿咗咁，有啲人堤壩高啲，就可以頂得住，有啲人低啲就頂唔住；亦可能係水太多，就算個堤壩好大都頂唔住。」  一般癲癇症患者會受光線、聲音等刺激，易在感冒、睡眠不足或經期時發作；至於打機引發的癲癇，除了與思維有關外，亦受螢幕的光線影響，與麻雀癲癇不同類。 中外打麻雀出事個案 07年6月　新加坡  51歲散工與友人在會館打麻雀時如廁，步出廁所時昏倒地上，送院後不治    06年10月　香港  愛搓麻雀的55歲婦人，在長洲友人住所竹戰，疑不堪兩度被截糊，摸牌時突暈倒，送院證實死亡    06年2月　台灣  苗栗縣患高血壓50多歲男子，竹戰7天7夜後才睡覺，卻一睡不醒    04年8月　天津  女子大殺三方，因怕被丈夫搶位，忍尿不肯離座，導致膀胱過份膨脹出血昏迷送院    01年12月　南京  63歲婦人打麻雀期間一直輸錢，當牌運轉好食糊時，疑中風死亡    資料來源：《蘋果》資料室
20070802-1,20070802,1,港人半歲兒東莞入院打一針下體壞死,港人半歲兒東莞入院 打一針下體壞死 【本報訊】「如果切咗（下體），你叫佢將來點過呀？」港人林先生的半歲大兒子林盛康，日前疑因肺炎在東莞入院求醫，沒料到被院方打一針消炎藥後，康仔下體竟然腫脹四倍且呈紫黑色，其後醫生更判斷康仔下體已經壞死，斷言：「至少龜頭肯定是守不住！」男嬰父親表示要向有關醫院追究責任。有專家建議及早把病童的壞死組織切除，否則可能性命不保。 在東莞鳳崗鎮工作的港人林先生，年初與內地太太誕下康仔，一家三口生活愉快。至本月28日下午3時半，林父發現康仔有輕微咳嗽及發燒，於是與太太抱着康仔到鎮內的南方醫科大學廣濟醫院求診，由該院兒科主任女醫生譚耀明診治。「我個仔喺呢間醫院出世，佢有先天性心臟病，一直都係睇呢個譚醫生。」  據林父透露，當時譚耀明醫生判斷康仔有肺炎，建議他留院觀察，並將康仔轉交一名姓謝的男實習醫生治理。「呢位謝醫生幫我個仔吊鹽水，到夜晚7時半又話要同康仔打消炎藥。」然而，就在姓謝醫生沿滴漏管輸入消炎藥（賴氨匹林）後約兩小時，康仔開始顯得煩躁不安，甚至嚎哭起來。 下體腫脹紅斑變黑色 林父與太太以為康仔可能因便溺後感到不舒服，於是替康仔更換尿片，卻驚見康仔下體表皮呈現一塊塊又紅又紫的斑痕。「我當時即刻搵譚醫生，佢話可能係過敏，過一陣就散。」斑痕不但未有散去，而且越來越嚴重。「再過幾個鐘，康仔仲係咁喊，我再睇吓佢下體，竟然腫咗四倍，又紫又黑，成個茄瓜咁，啲紅斑仲散到去大髀同肚！」  當時已是29日凌晨約2時半，林父大驚下找來當值醫生，醫生表示康仔是藥物過敏，替他注入抗過敏藥，又因康仔哭啼不停，注入鎮靜劑，但情況仍未見改善。至早上約7時，林父自行向院方取冰，試圖用冰敷替康仔下體消腫，仍於事無補。「朝早有幾個醫生嚟會診，一時話過敏，一時話可能打藥打得急，結果都只係話停咗藥先。」  其後，院方建議林先生替康仔轉去大型醫院診治，但就要求林先生簽下文件，確認轉院後一切責任與院方無關。「我哋梗係唔簽啦！康仔入咗嚟至搞成咁㗎！」林父拒絕轉院後，院方又指林父不合作，要求林父簽另一份文件，確認康仔留院是出於父母決定，後果由父母負責，惟仍遭林先生拒絕，最後院方建議請專家到診。 院方建議轉院圖卸責 「佢哋話喺廣州南方醫院請一位專家嚟，不過要我畀一千蚊紅包。」林父出於愛子深切答應院方要求，結果一名姓張的專家醫生在31日下午到院替康仔診症。據林父引述，該名張醫生診察後認為康仔出現「血栓塞」，原因可能是過敏，也可能是康仔本來有隱疾，答案模稜兩可。不過，最叫林父震驚的是姓張醫生直指康仔性器官已經壞死。「醫生話康仔下體已經瘀黑，至少龜頭肯定守唔住，一定要切除，至於實際要切幾多，就視乎情況。」  事後院方再次建議林先生替康仔轉院進行手術，惟雙方就責任及賠償無法取得共識。「如果切咗性器官係永久損傷，醫院一定要賠償同負擔康仔將來嘅醫療費用。」林太哭着說：「如果切咗（下體），叫佢將來點過呀？」林父更曾考慮，如果康仔將來無法傳宗接代，倒不如現在放棄，惟最後仍不捨結束愛兒生命。林父強調，如果醫院不負責任，會考慮向公安及特區政府駐粵辦求助。 不切壞組織性命不保 記者昨日見康仔精靈活潑，難以想像他可能隨時性命不保，據香港中文大學醫學院兒科學系副教授韓錦倫昨日透過照片判斷，康仔下體確已壞死。「康仔嘅情況好危險，應該盡快做手術切除壞嘅肌肉，否則性命都保唔住。」韓錦倫直指康仔現時情況是刻不容緩。 7月大男嬰下體壞死示意圖
20070802-2,20070802,2,灣仔街市成下一個戰場,灣仔街市成下一個戰場 【本報訊】隨着政府完成接收皇后碼頭，灣仔重建項目與西九將成為下一波戰場。有本土行動成員透露，一旦政府司法覆核勝訴，皇后碼頭最終清拆，本土行動將會轉戰灣仔，因為區內有多個重建項目，例如灣仔街市及「喜帖街」。至於甚具爭議的西九龍文娛藝術區，也會成為他們跟政府另一個重要角力場。  不過，該成員認為，現時皇后碼頭的抗爭還未結束，因為下周二展開的司法覆核聆訊很關鍵，「皇后碼頭仲未絕望，我哋會用盡一切方法抗爭。」他說天星、皇后接連的抗爭，已成功喚起社會對文物保育的關注。 表現溫和贏得同情 中文大學政治與行政學系副教授馬嶽指出，今次示威者面對警方清場行動，表現較預期溫和，有助爭取大眾同情，「連日保留皇后碼頭嘅行動，已強化公眾對皇后碼頭係公眾空間嘅印象，已達預期效果，算係贏咗。」  馬嶽說這類行動對政府有一定影響，當局於日後計劃清拆舊有社區時會考慮有關因素，但相信當局仍會偏重商界利益。「不過，政府口頭話重視環保同保育，咁會令政府越嚟越難處理呢類問題，綁手綁腳，稍一不慎，會被指違反民意，影響政府公信力。」  另外，網民也很關心其他面臨清拆的舊建築物。網友ken-man表示：「你𠵱家仲問呢個問題（清拆皇后碼頭）？問吓灣仔碼頭、尖沙嘴碼頭仲好啦！下一步到佢哋啦，到時政府又會話點解當初唔反對呀！」
20070802-3,20070802,3,特稿薪酬資歷不對稱須小心,特稿 薪酬資歷不對稱須小心 每年暑假都總有學生誤墮暑期工陷阱，香港青年協會青年就業網絡單位主任張志偉指出，青少年學生求職心切，而且看重薪酬，是容易「中招」的主要原因。「模特兒、配音員、金融投資公司文員同埋娛樂場所文員都係高危陷阱，學生見呢幾類工作時要特別小心。」 求職前要了解工作性質 「有個學生去見工做配音員，結果間公司要佢交幾千蚊學費上堂，上完堂後並冇安排到工作畀佢。」張志偉指今年便有一個誤墮配音員工作陷阱個案。香港討論區網民rimiko亦有類似經驗：「近日我見咗份配音員，間公司話要我錄音造隻光碟，畀公司揀人，要收我500蚊。」她懷疑受騙最終未有付款。  本身是註冊社工的張志偉表示：「有公司話請模特兒，但同樣先要你交錢上堂。有公司話請文員，其實係層壓式推銷，要你帶錢買貨，有啲就係呃你投資。」張志偉建議青少年求職時必須了解工作性質，遇有問題應多與家人商量。「如果份工薪酬同要求資歷不對稱，求職者就要小心，返工時發覺公司有古怪，應堅決果斷即刻離開，唔使驚。」  本報記者
20070802-4,20070802,4,新義安頭目　涉送墓碑放詐彈連番挑戰警方「蛇皮」落網,新義安頭目　涉送墓碑放詐彈 連番挑戰警方「蛇皮」落網 【本報訊】針對黑幫新義安接二連三的挑釁，警方昨日在屯門區展開反黑行動，成功拘捕活躍於該區的新義安「行動組」頭目「蛇皮」，懷疑他與過去半個月黃金海岸酒店發生的「晒馬」案、以及兩宗在油站放置墓碑和鞋盒詐彈的事件有關。警方消息稱，蛇皮被捕前正策劃另一挑戰警方的陰謀。 公然晒馬後拘捕5人 警方消息稱，綽號「蛇皮」的被捕男子姓禤，27歲，是屯門新義安行動組的一名頭目，曾追隨新義安叔父輩人物「蠱惑仔」，其後跟隨盤踞屯門市中心及青海圍一帶的話事人「壁虎文」搵食，從事外圍波馬及睇場等活動。  消息稱，蛇皮在幫中是一名打手，多次在屯門區內吹雞晒馬，並曾自誇隨時可召來二、三百人參與械鬥。上月16日，他闖入屯門黃金海岸酒店游霸王水後，聲稱酒店「唔畀面」，召來七名手下在酒店大堂叫囂，及要求酒店方面安排50人的自助餐擺平。  警方稍後根據酒店閉路電視影帶，兩天後在屯門區先後拘捕五名懷疑涉案男子，但發現蛇皮不知所終。  上月23日，有人在屯門警署附近一個油站廁所內，放置了一塊送給「屯門警署指揮官」的自製墓碑，並公然以新義安作下款。警方懷疑事件是蛇皮等人因不滿警方拘捕幫會成員而作出挑釁。  為此，新界北總警區刑事高級警司李永康和反黑組署理總督察黃志威，策劃和統籌一項代號「Gatecloser」的行動，拘捕13名男女，並通緝蛇皮及壁虎文兩人。 正策劃另一挑戰行動 直至前晚，有人將內載鬧鐘、電線和寫着「死差佬一鑊熟」的鞋盒放在屯門加德士油站廁所內。警方事後搜查區內多個地點，及發現蛇皮正策劃另一個挑戰警方的陰謀。至昨下午3時許，反黑組探員獲悉他在屯門景峰花園出現，於是趕至現場將他拘捕，並將他押返錦輝花園住所搜查。 新義安挑釁警方示意圖
20070802-5,20070802,5,收錢送少主供人淫辱印傭被控　受害姊妹花僅3歲5歲,收錢送少主供人淫辱 印傭被控　受害姊妹花僅3歲5歲 【本報訊】一名印尼女傭負責照顧一對3歲及5歲的小姊妹，她涉嫌每次收受一名在兒童遊樂場任兼職的17歲員工200至500元報酬，將小姊妹帶往遊樂場，任由該員工在房間內肆意侵犯她們，包括將細小硬物插下體，小姊妹於16個月內，涉慘遭侵犯達20多次，直至姊姊上周向父親訴苦，事件才曝光。　記者：戴國輝 警方拘捕涉案兩名被告，首被告印傭（32歲）及任兼職員工的次被告林健岳（17歲），昨解九龍城裁判法院提訊。二人暫被控一項非禮罪，暫毋須答辯，案件押後待控方諮詢律政司意見及警方繼續調查，兩人分別還押監房及警方看管。 印傭承認每次收數百元 控方庭上透露，首被告印傭負責照顧一對分別3歲及5歲小姊妹，姊姊上月27日向父親透露，她與妹妹在紅磡的「夢幻世界」其中一間房內遭人非禮，其父質問印傭，她和盤托出事件。  印傭承認在「夢幻世界」任兼職員工的次被告每次給她200元至500元，由她帶兩姊妹到上址供他非禮。她又承認收取次被告金錢一年多以來，次被告非禮兩姊妹多達20多次。女童父親立即報警。  印傭其後又帶警員拘捕次被告，他接受警誡時否認指控。小姊妹交由醫生檢查，姊姊並沒有表面傷痕，惟妹妹肛門出現紅腫，其後醫生再替姊姊檢驗，發現其下體有細小硬物插入造成的舊傷痕。 單是今年7月已有5次 姊姊在心理醫生陪同下進行錄影會面，她向警方表示次被告脫去她的衣服，用硬物插入她肛門，又吻她的肚臍，而每次都由印傭帶她和妹妹到上址，單是今年7月已有5次。警方稍後會為妹妹錄口供。  控方續指，即使兩被告沒有任何案底，鑑於案情嚴重，反對兩人保釋外出，並指案件可能會轉介至區域法院或高等法院審理。  次被告透過律師，向法庭投訴曾遭警方3度毒打，其中一次是打下體。代表律師申請保釋時指，次被告與父親及胞兄同住，棄保潛逃的機會微，他可交出一萬元保釋金，及遵守不離開香港等保釋條件。惟裁判官否決其申請，將案押後至本月6日提訊，還押警方看管，印傭則沒有申請保釋。  案件編號:KCCC4774/07 小姊妹疑遭非禮示意圖
20070802-6,20070802,6,特稿女童可警署外落口供,特稿 女童可警署外落口供 一對小姊妹疑被持續性侵犯，有法律界人士指出，根據本港法例，任何年齡在16歲以下人士，如須在警方安排進行錄影會面或錄取口供，其家長或監護人需要在場陪同，如罪案涉及性罪行，更可安排心理醫生及社工在場。 不會筆錄談話內容 該律師續指，若有關性罪行的女事主年紀過輕，警方可能會採用一些非正式的方法，例如不在警署內錄口供，警方會派出女警，在一間設有梳化的房內與女童以「傾偈」方式講述事件經過，女警不會用筆記下女童與她的對話內容，而閉路電視亦不會放於房間內顯眼位置，種種舉動旨在令女童說話時有一種不太拘謹的感覺。  而女警可採用引導方式與女童談話，有時候女童因年紀過輕，她未必能清楚說出被侵犯的身體部位及經過，女警便以「屙殊殊嗰度」或「屙唔唔嗰度」來暗指下體及肛門。  本報記者
20070802-7,20070802,7,圖偷李嘉誠妻遺骸案一人獲釋,圖偷李嘉誠妻遺骸案一人獲釋 【本報訊】富商李嘉誠亡妻莊月明位於柴灣佛教墳場的墳墓，去年大年初一遭盜墓者破壞案，主審高等法院法官處理餘下一名不認罪被告時，質疑負責替他落口供的警員，憶述錄取口供的情況前後矛盾，對被告是否自願招認存疑，故不接納該招認供詞，而控方在沒有進一步證據下，遂不提證供起訴該名被告，獲當庭釋放。 官不接納招認供詞 本案原有三名被告，除早前已認罪的內地兄弟劉惠晃（35歲）及劉惠志（41歲）外，還有一名港人被告胡振聲（37歲）。三人共被控四項罪，劉氏兄弟已承認全部控罪，押後至下周五判刑，而胡否認串謀勒索及刑事毀壞兩項罪名。  在案件正式審訊前，辯方先就胡是否自願錄取四份警誡供詞進行審訊，並指胡在錄取其中一份供詞前，曾遭探員帶進洗手間毆打，並將他的頭撼埋牆；他曾向警方表示感到發燒不適，但未獲理會；探員亦從沒詢問他是否願意錄取錄影會面口供，因而得不到公平對待。  法官昨裁決指，雖然不接納胡曾遭警方毆打，但質疑負責錄取口供的探員，認為探員供詞前後矛盾，指探員在解釋為何沒有替胡錄取錄影會面口供，出現三個版本，一時指自行決定不做會面錄影、一時指上級未有指示做會面錄影、一時又指從沒想過做錄影會面，因此令法官對胡是否自願招認存疑，故不接納該招認供詞。胡因控方未能提出足夠證據起訴，最後獲得釋放。  本案發生於去年1月29日農曆大年初一，富商李嘉誠亡妻莊月明位於柴灣佛教墳場的墳墓，遭多名匪徒挖掘，目的為盜取李妻遺骸勒索李嘉誠，匪徒並反綁在墳場任職管理員的夫婦，掠去五萬多元現金、手提電話及金飾。 事前曾到墳場視察 根據劉氏兄弟招認指，一名港人主腦向兩兄弟招攬加入盜墓計劃，相信每人可分得數十萬元，兩人稱共有8名同黨，其中5人為內地人，其餘全為港人，由主腦安排他們案發前來港，商討計劃，事前更多番到墳場實地視察，並由一名港人教導使用挖掘墓穴工具。  挖墓期間，因為管理員夫婦突然返回墳場，劉惠晃與另外3名同黨遂假扮追債，將管理員夫婦綑綁，其後因盜墓行動失敗，在主腦指使下搜掠管理員夫婦財物。  案件編號：HCCC50/07
20070802-8,20070802,8,新義安報復警方油站放詐彈,新義安報復警方油站放詐彈 【本報訊】氣燄囂張的黑幫新義安，昨晚在屯門加德士油站放置詐彈，回應警方近日大規模的反黑行動。警方接報後封鎖油站，召來拆彈專家引爆一個內載鬧鐘及電線，並寫着「死差佬一鑊熟」的鞋盒。警方相信今次是繼「墓碑」事件後，新義安人馬又一次的挑釁行為。 寫有「死差佬一鑊熟」 事發現場位於屯門青磚圍青山公路的加德士油站，昨晚9時許，有人在油站內一個流動式廁所裏發現一個灰色鞋盒，鞋盒上貼着一張寫滿潦草字迹的紙張，其中一行寫着「死差佬一鑊熟」。油站職員稍後報警。  警員及消防員接報後將油站封鎖，然後通知爆炸品處理組人員到場。現場消息稱，發現懷疑炸彈的流動式廁所，距離油站的油缸大約10米遠，拆彈專家到場後，通知所有人遠離油站範圍，然後用遙控拆彈車發射水彈引爆鞋盒。  一聲巨響後，盒內彈出多條電線及一個鬧鐘，拆彈專家將鞋盒及電線等物品逐一撿走，初步相信只是一個假彈裝置。  稍後，屯門警區反黑組探員到場，用相機拍下鞋盒的式樣及紙上的字迹。現場消息稱，紙上所寫的內容大致是不滿警方近日的反黑行動。至今日凌晨，屯門警區反黑組及重案組探員突擊搜查區內多處新義安人馬活躍的地點，暫未拘捕任何人。 曾自製墓碑送指揮官 警方消息稱，今次事件牽涉屯門新義安的兩名頭目「蛇皮」及「壁虎文」於上月16日在屯門黃金海岸酒店游霸王水後，聲稱酒店經理「唔畀面」，當晚吹雞晒馬往酒店搗亂。  警方事後拘捕五名涉案黑漢。怎料，上月23日，有人在屯門警署附近一個油站竪立一塊送給屯門警署指揮官的自製墓碑，並公然以新義安作下款。為此，警方新界北總區各區重案及反黑組，展開代號「Gatecloser」的大規模反黑行動，至上月28日，警方再拘捕13名男女。並通緝懷疑蛇皮及壁虎文兩名黑幫頭目。
20070802-9,20070802,9,一夜兩宗　單管雙程車禍20人傷紅隧獅隧連接發生　一司機命危,一夜兩宗　單管雙程車禍20人傷 紅隧獅隧連接發生　一司機命危 【本報訊】常在凌晨時段實施單管雙程行車的隧道危機四伏，隨時成為奪命陷阱！昨凌晨紅磡海底隧道及獅子山隧道更在個半小時內發生兩宗越線車禍，共8男12女受傷。其中一輛私家車在海底隧道駛往港島，途中在管道內失控越線，迎頭猛撼一輛滿載乘客的公共小巴。私家車司機重創被困，獲救送院命危，小巴司機亦情況嚴重。警方正調查肇禍原因。記者：伍浦鋒、黎志偉 首宗車禍現場為有35年歷史的香港海底隧道（俗稱紅磡海底隧道），全長1.86公里，為本港最繁忙隧道，去年平均每日逾12萬部車輛使用。本報昨多次致電向該隧道公司查詢，但一直未獲回覆。  昨晨3時許，姓陳（22歲）青年獨自駕駛萬事得Demio私家車，沿正進行單管雙程行車、時速限制50公里的香港海底隧道由紅磡駛往港島。私家車駛至約200米管道內突失控越過對面線，狂撼迎頭駛至的一輛滿載乘客公共小巴右邊車頭，繼而車尾向左轉橫亙路中。 私家車變廢鐵 肇事私家車撞至毀爛不堪，恍如廢鐵，司機被困車內，頭破血流重傷昏迷，由接報消防員用鋼索將凹陷車殼扯開，約半小時後始將他救出。被撞小巴則車頭凹陷，擋風玻璃碎裂，多名乘客撞傷手腳或跌在車內地上受驚呼痛，姓周（63歲）小巴司機亦頭部受傷，由隧道公司職員協助離開車廂。數名輕傷女乘客自行走至隧道九龍出口外歇息，其他人在管道旁邊石壆待救。  意外中，兩名司機及4男10女小巴乘客（19至63歲）分別被送院救治，其中私家車司機情況危殆，小巴司機傷勢嚴重，暫不適宜接受呼氣測試；其餘乘客均無大礙。有乘客事後形容兩部肇事車輛當時均高速行駛，警方正調查意外原因。 騰空管道維修 另外，同樣單管雙程行車的獅子山隧道，昨凌晨4時半亦發生車禍。一輛私家車沿獅子山隧道駛往新界，途中在管道內失控越線，撼向迎面駛至的專線小巴，尾隨一輛公共小巴亦煞掣不及撞向專線小巴車尾。其中兩名私家車女乘客及兩名公共小巴男乘客（22至46歲）均受輕傷，送院敷治無礙。姓周（38歲）私家車司機涉嫌拒絕提供呼氣樣本作酒精測試被捕帶署。  獅子山隧道管理公司姓余經理表示，為騰空另一管道進行路面維修工程，除假期及繁忙時間，平日凌晨時段會實施單管雙程行車，時速限制由70減至50公里。公司已在管道入口放置「雪糕筒」及指示燈，管道內亦有指示標誌和廣播提醒駕駛者。 紅隧單管雙行車禍示意圖 蘋果資訊：凌晨燈暗單管雙程危機多 對於單管雙程行車頻釀車禍，香港汽車工業學會副會長李耀培認為，與司機警覺性不足有關。他指部份駕駛者欠缺單管雙程行車經驗，錯用高燈妨礙迎頭司機的視線；也有司機因「打瞌睡」、酒後駕駛或藥物影響，令注意力減弱，引致入錯線、偏離行駛，甚至失控越線造成意外。  李耀培提醒駕駛者，平日盡量靠左行駛，即使在單管雙程隧道行車，也不會碰到對面線車身較闊的小巴或巴士，並要使用低燈及減慢車速。倘發覺入錯線，司機可在安全情況下切回原線。若意外無引起冒煙或火警，亦非置身緊急逃生情況，無論肇事司機或乘客都應留在車內待救。  立法會交通事務委員會主席鄭家富指隧道公司為減省開支，常在凌晨關掉管道內部份電燈，駕駛人士在較暗的燈光下易生事故。他稱去年曾建議在管道內路中加設螢光膠柱，但運輸署認為非固定式分隔欄或柱，會被車輛撞跌地上，影響行車安全；固定式分隔柱則會阻礙隧道運作，最終否決。
