key,date,article_daily_id,title,text
20020517-0,20020517,0,被強暴後遭恐嚇殺全家另類情書小作者跳樓死,被強暴後遭恐嚇殺全家 另類情書小作者跳樓死 【本報訊】「媽媽你有一雙能幹的手，每天不辭勞苦地工作，卻沒有半句怨言。……自從你生了我們後，你的生活漸漸地艱苦了，以前纖幼美麗的手，因此變得粗糙而硬化。……」一個十四歲另類情書小女作者，在徵文比賽中只用這些簡潔文句，便刻劃出母親為了養育子女的辛勤操勞。可惜這個聰明乖巧小作者，月前在鄉間遭友人的男友強暴後導致精神恍惚，她昨日突然病發由牛頭角下邨十一樓住所跳下身亡，以死來控訴那個害她終生的禽獸。　記者：張培生、梁麗娟、劉永明 這名不幸女童陳寶漓為陸豐人但在汕尾出生，九八年隨母親胞姊及兩弟移居香港，與父親同住牛頭角下邨第三座十一樓。來港後獲安排插班入讀附近的佛教慈敬小學三年級，為校內一名品學兼優學生。     父抱女兒屍體痛哭   女童父親陳坤琛昨日目睹女兒攀過欄河躍下時卻欲救無從痛不欲生，他飛奔下樓一度抱着愛女屍身悲傷痛哭。夫婦二人昨晚在區議員陪同下到牛頭角警署錄口供備案。  今年三月二十七日復活節及清明節假期，一家六口返汕尾鄉間拜祭祖墓順道探親，其間並無事故，至四月二日晚寶漓應同鄉女友阿芝約會去海灘玩樂至翌日才回家，之後寶漓便性情大變，每問因由時她便顯得驚惶失控，不斷哭泣，不肯言語和進食，家人都百思不得其解。  返港後她的行為更變本加厲，連同學也覺得她行徑異常。上月中她因為發高燒入院並要接受精神治療。父母還以為她「撞邪」曾返鄉求來神符、神茶及拜佛以庇佑女兒盡快康復。寶漓曾經表示「求神都無用，神都幫唔到我。」  直至本月三日她病況好轉離開醫院返家，才將事件始末道出，原來上月在鄉間時，阿芝約她外出並且帶了一名叫阿健的男友同來，三人一起去海灘玩樂之後，寶漓原定到阿芝家中過夜，豈料阿健將兩女載返其家中三人同睡一床，就在當晚半夜，阿健將她強姦，之後，還恐嚇她不准報公安，否則會殺死她甚至殺死她全家。陳父聞知愛女遭受摧殘盛怒不已，並於三日後夫婦帶同女兒返鄉找對方對質，但阿健極力否認。 好友阿芝否認事件   日前，寶漓一反常態轉趨活躍與嬸母外出逛街，原定昨晨早餐後再外出，但嬸母恐她有異以沒空為理推辭。  陳父表示昨上午八時許，他見女兒睡在床上，他經過上廁所時，女兒突然大驚說：「你唔好過嚟，我好驚呀！」他不以為然逕入廁所。其間，突然看到女兒跑出露台攀過欄河躍出窗外，他見狀連褲子也來不及穿上便衝前企圖將她抓牢，可惜一切都無法挽回，親眼目睹女兒直摔樓下倒卧血泊，陳父狂奔到樓下將沒有氣息的愛女抱擁入懷嚎啕痛哭；在附近任清潔的妻子亦驚聞噩耗趕返，悲慟欲絕一度昏迷送院。寶漓送院後證實不治。  她的胞姊及兩名幼弟返家知悉寶漓遭不幸亦悲痛莫名，尤以胞姊更哭至死去活來不斷自責，並指鄉間的阿芝經已學壞，早知當日寶漓與她外出一定會阻止，便不會發生這次不幸。  而這名阿芝兩周前才從鄉間來港，記者昨日到阿芝住所向她查證，她竟聲稱不認識死者，至晚上她又突然反口表示與寶漓是小學同學，但寶漓來港後便沒有再見面。並否認所有的事件。  本報記者昨亦趕到汕尾尋找到二十一歲的阿健，但他拒絕會面，只由其胞兄代見記者並強調阿健並沒有強姦過任何人。  不過，寶漓父親斬釘截鐵誓言在辦妥女兒喪事後回鄉向公安申訴，將強姦犯拘捕歸案。
20020517-1,20020517,1,父母尋翰仔耗費百萬元,父母尋翰仔耗費百萬元 現年十七歲的智障少年庾文翰，於前年八月二十四日，在油麻地地鐵站與母親失散，經調查證實翰仔乘火車到達羅湖後過境去了深圳，被內地公安送回香港，但遭入境處職員誤為非法入境者而遣返深圳。事件引起各界極大迴響，保安局及入境處成立專責小組處理有關事宜，內地公安部門更多次出動逾千名公安在深圳市作大規模搜索行動，更有神秘商人曾懸紅一百萬元尋找翰仔，但懸賞期過後卻未有翰仔音訊。     港府面對索償或和解   翰仔父母為尋子不斷在內地奔走，連同熱心人捐款及政府津貼，至今耗費逾百萬元，惟積蓄傾盡仍未有兒子下落，故上年六月決入稟法院向港府索償，翰母除了要求合理的賠償金錢外，亦要求當局長期在內地報章刊登廣告，不論兒子是生是死，亦要尋得其下落。據悉港府正研究與庾家作庭外和解，假若此刻把翰仔尋回，便可大團圓結局。  庾文翰失蹤事件令入境處邊境人員備受責難，涉嫌令翰仔「流落異鄉」的三名職員更需接受紀律聆訊，惟公務員事務局獨立職訊委員會調查時，其中一名涉嫌失職職員主動離職，另外兩人則被裁定失職指控不成立，結果無人受處分，處理手法引起各界質疑。  本報記者
20020517-2,20020517,2,「唔通要掛牌禁妓女馬伕進入」拆旺角「馬棚」議員多妙語,「唔通要掛牌禁妓女馬伕進入」 拆旺角「馬棚」議員多妙語 【本報訊】被指為「馬棚」的旺角豉油街臨時熟食市場土地用途惹起區議員激辯。在昨日的油尖旺區議會會議上，議員陳文佑指該熟食市場已淪為妓女及馬伕的聚腳點，建議食物環境衞生署將之關閉。有議員認為對市場內的經營者及食客不公平，更直言是否要在門外掛牌列明禁止妓女與馬伕不得進入！而食環署及規劃署均表示，暫時無意將該市場轉作其他用途。  油尖旺區議會食物及環境衞生委員會昨舉行會議，陳文佑在會議上指出，旺角區已有足夠食肆，在善用土地的原則下，食環署及規劃署應重新考慮該臨時熟食市場的土地用途。議員黎自立亦指出，該熟食市場的設施及環境衞生甚差，無必要予以保留。     「任何人都要食嘢」   不過，多位議員隨即表示反對，其中李景華質疑，有從事賣淫活動人士及嫖客在該熟食市場聚腳，根本與規劃無關。他坦言：「我都有去過食牛腩麫，重好欣賞㖭，莫非我又係嫖客去睇辦？我覺得提出建議嘅人係冇文化嘅人！」議員劉志榮亦認為，若關閉市場對經營者及食客不公平。他直言：「任何人都要食嘢，唔通要掛個牌寫明禁止啲妓女同馬伕不得進入？」  出席會議的警方代表承認，市場內外確實有妓女及馬伕聚集，但每年在該市場內發生的罪案只有數宗。食環署旺角區環境衞生總監唐雨生則回應，該署對豉油街臨時熟食市場的出租感到滿意，暫時無意關閉該熟食市場；規劃署以書面形式指出，暫無考慮將市場改作其他用途。
20020517-3,20020517,3,人物素描：《警訊》新督察　感情生活空白,人物素描： 《警訊》新督察　感情生活空白 年前一齣警匪電視劇造就了女督察馬綺玲的陀槍生涯，更成為電視節目《警訊》的新紮女主持，看她嬌滴滴的外形，燦爛的笑容，似乎執筆比揸槍適合，事實上她本來就是一名大學美術系畢業生，她五年前毅然「棄筆從戎」，身邊的畫筆一下子變成佩槍，為的是要圓她兒時夢想。     ‧面對慘劇保持理性   臉上經常掛着甜美笑容的馬綺玲說，五、六歲時看見電視藝員米雪，在電視飾演便衣女警幹勁十足，自此她便興起當女警的志願；至中學會考時一直在想：「只要五科及格便可投考警察。」可惜會考成績及格，卻不能如願，在父親一聲令下她便要隻身遠赴加拿大升學，令她心深不忿，大學時賭氣選擇了純美術做主修科目，當然她也蠻喜歡這科目。  當各人期望她大學畢業，以一雙纖纖玉手拿着畫筆瀟灑揮毫的時候；她卻偏偏拿着重甸甸的手槍除暴安良，當然她有一番見解。那是小學四年級，性格活躍的馬綺玲便積極參與各項活動，包括跳舞、戲劇、打鼓及繪畫，其中跑步和跨欄更是強項，曾經揚威學界。  另外，馬綺玲說，解構一件藝術品非單憑感性或天馬行空，而須分層逐項分析，與查案一樣。她強調，警察是一份多元化工作，講求同事間的合作性，對熱愛團體生活的她倍覺適合。  馬綺玲九七年自加拿大學成歸來，即加入警隊工作，其間免不了面對「生離死別，天災人禍」的悲慘場面，她不斷提醒自己要保持理性，因為警員即時安撫當事人是非常重要的，她曾試過在處理一宗吊頸自殺事件時，死者妻子因傷心過度企圖共赴黃泉，經她好言安慰終救回一命。  至於現時轉任《警訊》主持一職，她相信是她的古銅色皮膚和親切笑容，能給人陽光、健康及正面的感覺，因而當上警隊親善大使。她希望藉此除了正確報道罪案新趨勢外，亦可令市民多了解警隊工作。 ‧一句台詞NG十四次   雖然她目前毋須面對槍林彈雨，但面對鏡頭仍是十分刺激。她第一次正式錄影時只要講一句台詞，但卻因為緊張過度，NG（動作不完美須重拍）了十四次之多，幸好工作人員都很維護她，未有出言怪責。  馬綺玲對警隊工作充滿熱誠，打算一輩子做「差婆」；相對她的感情生活卻一片空白，曾經談戀愛的她目前並未渴求新戀情萌芽，只輕輕的說：「一切隨緣。」  記者：譚皚璧
20020517-4,20020517,4,母牙痛看醫生　父趁入睡逛街獨留家三歲女墮樓命危,母牙痛看醫生　父趁入睡逛街 獨留家三歲女墮樓命危 【本報訊】一名父親趁三歲女兒午睡之際離家外出，豈料女童醒來攀上摺椅憑窗望街，結果失足由三樓墮下，跌在行人路上，口鼻流血重傷，一名路過的中醫師和一名休班男護士協助搶救，女童被送院急救後情況危殆。　記者：梁澤岡、李志強、冼豪文 墮樓女童姓郭，由於腦積血，被送院後隨即接受手術清除瘀血至今晨零時手術仍進行中，目前仍危在旦夕。女童父親五十七歲，母親四十一歲，兩人共育有七女一子，出事的女童排行最小，大家姐已二十歲。     一家十口夫婦離婚   據說父親有酗酒習慣，兩夫婦一年多前離婚，之後，父親與兩名大女兒遷到葵涌居住，而母親則與另外六名子女住在深水埗長沙灣道一單位，兩個家庭都是靠綜援過活。事發在昨日下午三時五十分，之前，郭母牙痛外出求診，而五名子女已上學，於是致電前夫代照顧最年幼的女兒。其間，女童在房內入睡，懷疑郭父趁此之便外出，到附近的鴨寮街閒蕩。  警方事後在房間調查，發現鋪在地上的床褥有一張摺椅，靠着的窗門打開但沒有窗花，相信女童醒來時不見親人，於是將摺椅放在床褥上墊腳，然後攀窗外望，找尋爸媽，懷疑因此失足墮樓。     休班男護中醫搶救   據目擊者稱，女童由三樓窗門墮下，先撞到二樓的晾衫架，再反彈墮下行人路上，途人見狀立即報警，一名路過的休班男護士和一名中醫，馬上協助搶救及為女童試探脈搏，當時女童口鼻流血，手腳仍可微微活動，稍後救護員到場將女童送院。  警方在場調查時，郭父自外返回，驚悉事件後即趕往醫院，女童經初步檢驗相信有腦積血現象，醫生立即為她施手術清除瘀血，目前情況仍然危殆。
20020517-5,20020517,5,連環搶劫填債　女郎藏行李箱司機兩劫女客囚八年八月,連環搶劫填債　女郎藏行李箱 司機兩劫女客囚八年八月 【本報訊】五旬旅遊巴司機疑開工不足，入不敷支致債台高築，大耳窿登門收數噴漆恐嚇，司機鋌而走險，四日內先後兩次誘騙女子登車行劫，並變本加厲禁錮事主於行李箱內，事主驚嚇數句鐘鬆綁逃脫。法官昨日指斥被告罪行惡劣，判囚八年八個月。  高等法院暫委法官杜麗冰判刑時指，被告第二次犯案時將女事主綑綁封口，然後用硬物襲擊其後腦，復將她拖入巴士行李箱內禁錮數小時，事主飽受恐懼，幸無缺氧、窒息或暈倒，成功鬆綁逃脫。她指被告悔意難以減輕罪行的嚴重性。     淚眼看律師讀求情信   有四項刑事紀錄的五十一歲被告張偉雄，面對盜竊、非法禁錮及兩項搶劫罪名。他昨日一直低頭，當律師朗讀其撰寫求情信時不禁淌下男兒淚。被告信中以過來人身份奉勸同路人要保持冷靜，應向親友傾訴或求助政府部門，慨歎：「一失足成千古恨，回頭已是百年身。」代表律師透露其妻已入稟申請破產，妻兒現靠每月五千元綜援維生。  案情透露，被告於去年四月起受僱於草蜢旅遊巴士公司，早晚負責接送工人往返牛頭角及元朗工廠，下午載學童往來屯門蝴蝶邨的保良局梁周順琴小學。     首名受害人跳車逃脫   去年十一月十二日晚上約七時許，三十歲女事主在九龍灣常悅道登上被告的遊旅巴士，十分鐘車程後被告將車停低，手持𠝹刀指嚇事主打劫，取去她的信用卡提款，女事主伺機鬆綁從司機門的通風窗跳車。  三日後被告於早上九時半在屯門華都花園，以十元一程往九龍招攬途人登車，二十四歲女事主登車後，被告將車駛至附近停下將她綑綁封口，以她的大褸蓋頭用硬物襲擊其後腦，女事主假裝暈倒，被告遂將她拖下巴士放在行李箱內。  被告利用女事主信用卡提取一千三百元後，繼續開車接送學童，女事主趁巴士駛至邨口時鬆綁走出行李箱求救，被告開車逃去。  案件編號：HCCC87/02
20020517-6,20020517,6,兒子骸骨十八日前先發現女乾屍藏自製棺材防腐,兒子骸骨十八日前先發現 女乾屍藏自製棺材防腐 【本報訊】跑馬地天橋底一處隱蔽的露宿者聚居地，昨午發現一個自製棺材，內有一具用棉被及海綿包裹的赤裸女乾屍。警方調查後初步相信死因無可疑，懷疑女死者為拾荒婦，死後被人草草殮葬。該處鄰近自搭的一間空置木屋，十八日前在床上發現一副男性人骨，兩死者相信為母子關係。  昨午四時，工人清理木屋旁一堆約十呎高的垃圾後，發現垃圾底一個密封的木箱很沉重，撬開查看，赫見內有一具乾屍，立刻報警。女乾屍屍身呈啡黑色，全身赤裸，藏於一個被釘封的六呎乘二呎木箱，屍身臉部蓋着一塊毛巾，全身再被一張棉被及海綿密封包裹，墊着屍身的棺木底部及屍身上各鋪有一塊海綿，料為防止屍臭洩出，而海綿具吸濕功用，屍體有屍水滲出全被海綿吸去，屍身被發現時只是乾枯，未腐爛。     覆診卡揭年齡九十八歲   消息稱警方根據屋內一張覆診卡，相信死者為現年九十八歲的姓梁拾荒老婦，已死去很長時間，表面無傷痕，死因有待法醫官剖驗。男性人骨相信為一名姓黎男子，年約七十歲，梁婦生前有病，懷疑母親病死後，兒念親恩自製棺木葬母，其後兒子病逝化為人骨。  現場為黃泥涌峽道十二號對開行車天橋底一個依山而建橋躉凹位，從行人路要攀爬而下，年前被一些拾荒露宿者佔用，在靠牆處搭建一間六乘四呎木屋，內置有一張離地三呎多鐵床，屋外放有三張爛床，相信至少有四名露宿者聚居，為方便出入，並在行人路旁自製繩梯。
20020517-7,20020517,7,港人自我增值　院校競相開班上海話吃香學額加八倍,港人自我增值　院校競相開班 上海話吃香學額加八倍 【本報訊】上海是港人最希望北上工作的其中一個地方，不少港人為求增加競爭力，紛紛學習上海話。有機構繼本年初開辦的上海話課程獲超額報名三倍半後，現計劃把新一期課程學額增加至八倍。有人事顧問指出，上海人見到「自己人」便講上海話，所以懂上海話將有優勢；但最重要的還是懂說流利英語和普通話。　記者：譚秀嫺、盧燕儀 資深的普通話及上海話教師鮑茂振表示，現時中國有三種主要的方言，一是十分近似普通話的北京話，二是南方勢力極大的廣州話，三是上海話。尤其近幾年，上海經濟地位提升，令上海話的「勢力」上升較快。  本港政經界中亦有不少「上海幫」，如特首董建華、行政會議成員唐英年、自由黨主席田北俊及九鐵主席田北辰、中信泰富主席榮智健、九倉主席吳光正等。  浸會大學持續教育學院去年十月首辦上海話課程，本年春季原只開一班，卻接獲約一百六十人報名，結果加開至四班。該校中國文化及語言課程學術統籌主任林苗表示，七月份課程將由原來的一班增加至八班。     上海話有公關意味   她指出，學員中最多的是對上海話有興趣，兼且希望一技傍身；另約三分一是計劃到上海找工作或將被派往上海工作的；部份是祖籍上海卻不懂上海話，希望藉此尋根認祖。  林苗稱，在商場上，上海話已不只是一種語言，因為懂得普通話已能與人溝通，所以上海話另有公關意味，跟上海人講上海話，有親切和夥伴感覺，讓人另眼相看。  觀塘職業訓練中心將於七月試辦上海話課程。該中心副校長龐偉業表示，港人如想到上海工作，需學習上海話，故特為普羅市民開辦學費較便宜的課程。城市大學專業進修學院自兩、三年前起開辦上海話課程，去年夏季開始，報讀人數亦有上升。     北上工作一成往滬   中原專業人事顧問公司董事周綺萍表示，上海人較團結，見到「自己人」便會講上海話，「你如果淨係識普通話，就唔知佢哋講緊乜。」據該公司接觸，現時約三成多需到內地工作的職位中，約有一成要求僱員到上海駐守或出差，懂上海話的申請人會有優勢，但甚少公司把上海話列為必要條件。  但周綺萍呼籲港人勿本末倒置，因英文好才是港人與國內人競爭的首要條件；而到內地工作必須懂普通話。
20020517-8,20020517,8,唐英年：懂上海話未必具優勢,唐英年：懂上海話未必具優勢 在上海工作的港人普遍認為，若懂得上海話，在上海發展肯定百利而無一害，不僅生活上方便些，做生意時，更可和上海人打成一片，生意也會較「易傾」。  不過，在上海有不少投資的行政會議成員兼半島針織主席唐英年認為，上海人講求實事求是，懂上海話不一定在洽商生意上有優勢，他本人的普通話較上海話流利得多。  長居上海逾五年的港人余先生說，為免當地人以為他是遊客，他在上海購物時也會「講番兩句上海話」。若要買一些較為貴重的貨品，他索性會請上海朋友相伴，自己看中貨品後，由上海朋友出面代為購買，肯定會較自己買便宜一些。     上海人有優越感   剛到上海工作不久的港人董先生亦謂，在上海只說普通話，生活也不會有大問題。不過，若懂得上海話，做生意肯定會較方便。「一來予人深刻印象，二來令對方有自己人感覺，傾生意自然會較易傾。」  他認為，上海人愛講上海話，主要在於他們有很強的優越感，就如法國人即使懂英語，也不會以英語與人溝通一樣。  本報記者
20020517-9,20020517,9,北姑「迫爆」監獄,北姑「迫爆」監獄 【本報訊】警方近期大力掃蕩內地女子來港賣淫活動，令懲教署監禁的女犯人數目激增至二千八百多人，打破該署監禁女囚犯人數紀錄，並「迫爆」本港女子監獄，該署要將部份原本收容男囚犯的設施，改為收容女囚犯，懲教署署長伍靜國指出，若女囚犯人數持續增加，該署會考慮將馬坑監獄改建為女子監獄。  伍靜國昨日與傳媒茶敍時表示，由於警方近年拘捕大批「違反逗留條件」的持雙程證內地女子，包括從事賣淫活動的內地女子，令去年遭判監的女犯數目增加六成一。     大欖超額一倍半   自前年第四季起，女犯人的數目持續上升，由前年十月五日的一千四百五十八人，激增至今年五月的二千八百二十五人，增幅近一倍，打破最高監禁女囚犯紀錄，令女子監獄「爆倉」，大欖女懲教所最嚴重，收容額是二百七十八人，實際收容六百七十八人，實際收容率為兩倍半，即超額收容犯人一倍半。
