key,date,article_daily_id,title,text
20130604-0,20130604,0,六四24周年90後主持燭光集會,六四24周年90後主持燭光集會 今夜，維港兩岸都泛起燭光，悼念24年前為追求民主的槍下亡靈，向坦克下的先烈致祭。儘管彼此有不同見解，但會一同掉淚。21歲的林兆彬，今晚會承傳六四薪火，在維園的燭光集會擔大旗做主持。面對本土派對「愛國」口號的爭議，他認為，悼念六四，從來都是本土事件。支聯會主席李卓人說：「集會係屬於六四亡靈」。  記者：王家文　張嘉雯　梁德倫 燭光今晚8時再次點亮維園，悼念24年前天安門廣場的英魂。今年支聯會首次安排90後青年林兆彬擔任其中一名大會司儀，在集會上宣讀五大綱領，為天安門母親念開場白。在本土派與「愛國愛民」口號爭議中接棒的林兆彬，現年21歲的他說：「六四集會主角從來唔係支聯會，係六四民主烈士同香港悼念嘅市民」。 林兆彬剛畢業於中文大學社工系，是學聯前副秘書長，09年六四20周年首次參加燭光悼念。他說，一支燭光就是一顆良心，「香港人仲未忘記」，人數就係最好證明。 今晚當哀樂《江河水》奏起，林兆彬會帶領市民唱《祭英烈》、《自由花》。他坦言，近年支聯會被批評老餅、形式化，自己出任司儀，只盼多一份年輕人味道，「年輕人係有使命感接棒，為香港、中國民主運動出一分力」。他說，自89年逾百萬人上街，香港人建立對民主自由的追求，「悼念六四從來都係好本土嘅事」，形式可以多元，「如果叫人忘記，叫人唔好悼念，我唔認同」。 80後填詞延續熱情 「民主烈士永垂不朽」紀念碑昨已豎立在維園足球場。逾百名內地人晚上專程到維園，先行致祭，今晚再出席集會。內地人小軍（化名）首次來港悼念，六四當年他上街遊行爭取民主，「現在中國人好像是砧板上的肉，我們只希望做回一個人」。他說，六四真相在人民手裏，感謝香港仍有自由土地，「期望未來建設民主中國」。 今晚維園將播放李旺玲的錄影短片，轉達其胞兄、「六四鐵漢」李旺陽的遺言，以及天安門母親的講話。VIIV樂隊也會在集會上重唱《民主會戰勝歸來》，這歌由去年六四唱到今年碼頭工潮，由「白頭浪默含淚光沖往世外」唱到「後有巨浪承接這變改」，80後填詞人Barry說，上一代的遺憾由下一代平反，但願這歌繼續唱下去，直至「自由與生命同在」。 Barry說，前年填寫《民》，香港人走進困局，「需要一首歌去振奮民主運動」，盼藉「政治流行音樂」融入年輕人生活，延續六四後的熱情。 75歲義工留守維園 為集會出力的，還有擔任大會義工24年、年逾75歲的黃師傅。他憶起軍隊屠城仍熱淚盈盈，「砰砰嘭嘭槍聲響起，真係喊咗出嚟」。在89年民主歌聲獻中華集會中，他首次擔任義工糾察，翌年加入支聯會義工隊，過去近四分之一世紀，每年5月他都會幫支聯會運載物資，去年9月因頸椎生骨刺，今年已不能再運送物資，但仍留守維園，點起燭光。 支聯會主席李卓人呼籲香港人放低爭論，在維園點起代表良知的燭光，「集會係屬於六四亡靈，屬於當年波瀾壯闊嘅運動，繼承學生為民主犧牲嘅遺志，要民主自由嘅中國，結束一黨專政」。今日出訪上海的特首梁振英，昨晚參與建制派飯局前多次被傳媒問及是否敗走上海避談六四，他只笑而不語。特首辦回覆本報有關梁振英六四立場的查詢時，指作為特區政府官員，不會評論有關事宜。 要瞭解更多六四人和事，為死難者留下悼念的燭光， 請即登入蘋果【六四專頁】:  http://6471.appledaily.com/  
20130604-1,20130604,1,陳日君籲團結一致,陳日君籲團結一致 本土派因「愛國」二字，杯葛支聯會六四維園燭光集會，天主教香港教區榮休主教陳日君樞機昨稱，不希望因用詞而分裂平反六四的團結力，強調出席集會意義在於悼念六四，等待中央一個交代和改變，否則「國家冇希望」。 愛國二字被騎劫 陳日君樞機昨主持六四彌撒，約300名天主教徒參加，為當年死傷者、難屬祈禱，並點燃小蠟燭放到中國地圖上，為中國爭取民主。樞機講道時說，六四事件是愛國運動，但政府用暴力殺害人民，犯下大罪，又狠批中共充滿暴力及謊言，為維護政權犧牲人民，否定民主，只以為發展經濟是硬道理。 樞機回應近期的「愛國」爭論，表示明白總會有人對「愛國」二字敏感，惟有向他們好好解釋。他強調非常尊重天安門母親發起人丁子霖，並指：「冇理由愛國兩個字俾人（中共）騎劫；愛國應該㗎嘛，𠵱家俾佢哋用咗、我哋唔用得㗎？我哋唔係愛黨嘛。」 樞機希望港人不要因用詞而分裂，又說如果認為愛國有問題，支聯會豈非要改名，「啲青年嗰時（89年）嘅運動係愛國嘛」。他認為數以萬計港人24年來齊集維園，為的是「要記得呢件事，我哋要等待一個交代、一個改變，否則我哋國家冇希望」。 要瞭解更多六四人和事，為死難者留下悼念的燭光， 請即登入蘋果【六四專頁】:  http://6471.appledaily.com/  
20130604-2,20130604,2,內地人支持報哀音,內地人支持報哀音 拉着大箱行李，提着名牌紙袋，三三兩兩的內地遊客逛完了尖沙嘴的大型商場，路過五支旗杆看到一個個頭上綁着白色絕食布帶的大學生「報哀音」。有人緊握拳頭讚揚孩子了不起，由此決定把握機會出席今晚的維園燭光集會，「早不來、晚不來，偏偏讓我們來了、聽見了」。 讚學生「很厲害」 「感謝你們為中華民族的未來作出貢獻」，一張用簡體字寫成的黃色便條擱在旗杆下的桌子上，與紙製坦克、胡耀邦的棺材和人民大會堂的紙製模型放在一起，六四前最後一場由大學生主理的報哀音活動在遊客區上演，一首《自由花》驚破了街頭的紛擾，粵語歌曲沒有成為阻隔，路人一個一個圍上前，拿起大會的傳單，幾乎都是內地人。 拉着行李的李先生，聽到學生自發辦活動，大讚「不可思議」、「很厲害」，又說「這件事對我們這一代人有很大影響，但很少跟孩子討論，怕他們惹麻煩，內地管得很嚴」。戴墨鏡的梁先生，被哀音勾起兒時回憶，「死了的人都挽不回了，我們在國內政府都把消息壓下去，就是要讓大家淡忘，如果你出來就把你抓進去，跟香港一國兩制不一樣」。他聽見學聯成員在時代廣場絕食，感到很驚訝，「我們現在就過去，明天也要去看看」。 要瞭解更多六四人和事，為死難者留下悼念的燭光， 請即登入蘋果【六四專頁】:  http://6471.appledaily.com/  
20130604-3,20130604,3,今年被禁木樨地祭親　丁子霖怒發公開信「習上台後中國人權倒退」,今年被禁木樨地祭親　丁子霖怒發公開信 「習上台後中國人權倒退」 六四24周年，北京加強對六四難屬和異見人士的打壓，眾多六四人士遭軟禁，家中被斷網、斷電話。昨晚當局又禁止天安門母親去當年孩子出事地點悼念祭拜，令今年六四悲情加劇。丁子霖夫婦昨發公開信，怒斥習近平上台後，中國人權大倒退。 經多年抗爭，2007年6月3日當局終允丁子霖往木樨地拜祭兒子蔣捷連；隨後又在2008年和2010年，兩度再允她於6月3日晚出門祭拜親人，灑一杯酒，獻一束花表達哀思。但今年當局突然收緊，禁止她們6月3日晚外出祭拜。丁子霖、張先玲昨晚被堵在家不能外出。 丁子霖夫婦昨發公開信抗議當局做法，透露從前日下午開始她家電話和互聯網均被切斷。丁哀嘆道：「我們都是80歲上下老人，時日無多」；當局這樣做「說明習近平上台後，中國的普世人權沒有絲毫進步，反而大踏步倒退」；「中國政府將自絕於世界文明人類！」 眾多六四人士被當局軟禁，包括趙紫陽前秘書鮑彤、學者高瑜、人權律師浦志強、學運領袖李海、江棋生；六四傷殘人士齊土勇等。昨日天安門廣場四周保安明顯加強，木樨地有大批公安警車戒備。深圳大學近日發通告，要求全校師生本周不去香港。 但內地民眾仍以各種方式悼念六四。有網民籲今日穿「素衣」出街。天津有民眾在公園貼通告，呼籲今日舉行六四集會，組織者還向當局申請遊行。有網民在微博貼文：「明天我們去不了香港維園，但我們的心跟香港市民在一起！」 要瞭解更多六四人和事，為死難者留下悼念的燭光， 請即登入蘋果【六四專頁】:  http://6471.appledaily.com/  
20130604-4,20130604,4,丁子霖夫婦公開信全文 ：你們憑甚麼剝奪我們去木樨地祭奠亡兒的權利,丁子霖夫婦公開信全文 ： 你們憑甚麼剝奪我們去木樨地祭奠亡兒的權利 告讀者：幾天來，我們與駐在我們樓外執行監控任務的國安人員交涉：我們今夜一定要去木樨地祭奠亡兒，非去不可。國安答復（覆）：上級不准許。6月2日下午3點左右，我們家的座機和寬帶（寬頻）線路均被切斷。我們寫了這份「強烈抗議」，但無法直接往外發。接着，我們的手機也被切斷。至此，我們與外界的所有通訊聯繫均被隔斷，眼前漆黑一片。 1989年6月3日夜11時10分，我們的兒子蔣捷連喋血於木樨地復外大街29號樓地鐵口。從這一刻至1991年4月，我們的腳步不忍踏上這塊流淌着兒子鮮血的傷心地。從1991年4、5月間我們打破沉默，公開譴責了「六四」大屠殺之後，我們遭到了國安部門的嚴密監控，從此，我們想去都去不了，木樨地就成了每年「六四」期間政府當局阻止我們涉足的禁區！ 然而，從2007年起，我們終於排除障礙、衝破禁區，與另外兩家難屬來到木樨地復外大街29號樓前，在「便衣」的注視下，第一次在兒女倒下的地方為他們點燃香燭，焚燒紙錢，撒酒祭奠。終於了了我們的心願。 2008年6月3日深夜，政府當局為了舉辦奧運，製造寬鬆氣氛，沒有阻攔我們三家難屬去木樨地舉行路祭，盡管現場圍着很多便衣。 2009年6月政府當局不顧我們的抗議，竟以「六四」20周年敏感為由，斷然阻止我們前去木樨地祭奠。這一年，政府當局還剝奪了我們參加並主持天安門母親群體的「六四」慘案20周年集體祭奠活動。 2010年6月3日夜，經我們多次抗議和堅持，當局在復外大街29號樓前用鐵柵欄、纜索拉了一個大警戒圈，圈內圈外全是穿警服和不穿警服的人員，這些人不斷吆喝、推阻圈外的境外記者。整個圈內只許我們一家單獨祭奠。這次路祭，我們受外地與本地一些難屬委託，擺了十張死難者照片，我們為每一位遇難者灑酒、致辭。祭奠結束時，由於過度傷心和疲勞，丁子霖不能自持，即刻暈倒在地……。 2011年、2012年連續兩年，當局任憑我們怎樣堅持都禁止我們去木樨地路祭。 我們都是80歲上下的老人，時日無多，沒有多少次祭奠的機會了。今年3月，我們向國安部門提出，今年6月3日夜我們非去祭奠不可。這幾天我們又多次堅持，他們回應上級不准。以上事實說明，習近平上台後，中國的普世人權沒有絲毫進步，反而是大踏步地倒退了。 24年前，中國政府動用機槍、坦克殺害了成百上千的北京市民和學生，它一貫用早已有「明確的結論」來阻止西方國家和海外人士的質疑。今年5月31日美國國務院發出有關六四事件24周年的聲明，這個聲明說：「美國在6月4日暴力鎮壓天安門廣場示威24周年之際，美國緬懷那些痛失的無辜生命。」 而我們，這批「六四」死難者的父母，要到兒女倒下的地方去祭奠他們的亡靈的權利竟然被中國政府徹底剝奪。美國國務院聲明中還提到，要「全面說明那些被打死、拘押或失蹤的人的下落」，這根本無法做到，「保護所有本國公民的普世人權；釋放那些被錯誤拘押、起訴、監禁、強迫失蹤或軟禁在家的人」，這也都談不上。 維護所有國家所有人的基本人權，追究暴力鎮壓造成傷害的責任，是文明人類普遍的國際義務，我們歡迎美國國務院的聲明。中國政府發言人指責美國是政治「偏見」，「干涉中國內政」，這只能說明中國政府自絕於世界文明人類！ 要瞭解更多六四人和事，為死難者留下悼念的燭光， 請即登入蘋果【六四專頁】:  http://6471.appledaily.com/  
20130604-5,20130604,5,浸大調查　零學生自稱中國人,浸大調查　零學生自稱中國人 港人拒盲目愛國，新生代更拒認「中國人」。浸會大學香港過渡期研究計劃進行的研究發現，受訪的93名學生中，沒有人以「中國人」自稱，大部份只認作「香港中國人」，屬調查自90年代初開始以來首見。有學者分析，去年國民教育爭議令更多人認識中國政府的不堪，料因此年輕人拒認中國人。 有關調查在2月進行，以電話隨機抽樣訪問920人，以職業作分類，其中93人自稱學生。受訪學生中，65%以香港中國人形容自己，24%則自認香港人，11%受訪者選擇認作中國香港人；驚為天人的結果是：沒有受訪學生自認中國人。 八成港人對國慶未見熱衷 研究計劃主任戴高禮指，沒有學生選擇中國人，結果令人驚訝，指同類調查在過去20多年未曾有如此結果；雖然調查沒有詢問受訪者原因，但相信與去年國民教育爭議有關。 調查又發現，18至29歲的年輕人對國慶日熱衷程度遠低於其他年齡組別。51%年輕人認為國慶與自己無關，31%認為只是假期而已。整體而言，八成港人對國慶未見熱衷，感到興奮和驕傲的6%。 中大政治及行政學系高級導師蔡子強認為，沒有學生自稱中國人，是對中央和特區政府的警號：「好多學生擁抱普世價值，中港衝突亦增加佢哋嘅離心，唔想認自己係中國人，即使政府講到國家點好，但如果本身件事係壞，點樣點綴都係無補於事：東施點樣化妝 ，都唔係西施。」 要瞭解更多六四人和事，為死難者留下悼念的燭光， 請即登入蘋果【六四專頁】:  http://6471.appledaily.com/  
20130604-6,20130604,6,公安邀港記者「談話」,公安邀港記者「談話」 六四事件前夕，再次傳出中共向香港傳媒施壓事件。無綫電視昨晚六時半新聞報道，兩名北京公安人員昨突到訪該台新聞部駐北京辦事處，邀請該台記者「談話」，更將記者帶到居住小區的管理處，「提醒」記者拍攝及採訪前，要向相關單位申請，否則會依法處理。now及有線電視的駐京辦公室昨也有公安上門，但未有帶走記者。香港記者協會批評公安做法明顯要限制採訪。 指人多地方採訪要申請 無綫新聞昨報道，兩名北京公安下午到該台駐北京辦事處，以香港記者不熟悉北京情況為由，邀請記者林昭儀到所住小區管理處談話。其間，公安向記者聲稱因北京是首都，每逢在人多地方採訪都要申請，就算在街道拍攝也要向街道辦申請，如果未有申請就採訪，會根據國家的法律法規處理。 記協主席麥燕庭指，駐京記者當取得駐京記者證後，只須取得被訪者同意就可以進行採訪，不需要經過街道辦，或向其他人提出申請。 麥燕庭認為，北京公安提出的要求已干預駐京記者應享用的權利，明顯要限制採訪，「北京當局用意非常清楚，明顯要記者低調，甚至唔採訪與六四周年相關事件」。無綫電視外事部副總監曾醒明指，新聞部已詳細報道事件，沒進一步補充。 要瞭解更多六四人和事，為死難者留下悼念的燭光， 請即登入蘋果【六四專頁】:  http://6471.appledaily.com/  
20130604-7,20130604,7,李旺陽墓地列為禁區,李旺陽墓地列為禁區 湖南民運人士李旺陽生前坐監22年，慘遭迫害，死後入土仍不得安寧。臨近他去世一周年及六四24周年紀念日，李旺陽的墓地竟被當局列為禁區，邵陽公安日夜「三班倒」在墓園守候，更禁止家人向外透露墓址，否則「把墳扒掉」。李旺陽的家人及多位生前好友，上周末開始被當局帶走失蹤。 家人及好友被帶走 「李旺陽妹妹李旺玲和她的丈夫，還有李旺陽生前好友尹正安，上周末都被邵陽公安帶走了。當局就是不想他們在這個敏感日子跟外面接觸。」廣州作家兼維權人士野渡昨日對《蘋果》記者表示，上周他和多名民主人士到湖南邵陽想給李旺陽掃墓，不料卻被公安擋在墓園外，不讓進去。 「公安分三班24小時守候，怕網民去掃墓造成影響」。野渡透露，李旺陽去年火化後，當局自作主張將李的骨灰偷偷葬在邵陽西郊的大山嶺陵園一個偏僻角落，為防外人尋找，遲遲不准家人立碑，直到今年4月清明節前才立碑。 李旺玲透露公安警告她不得向外透露墓地地點，否則「就把我哥哥的墳扒掉，把骨灰扔到資江河去」。本港電視台早前接觸到李旺玲，她感謝港人為李旺陽事件所發吶喊，認為可告慰哥哥在天之靈。野渡表示因無法到墓前祭拜，他和多名好友惟有日前在廣州遙祭李旺陽。 李旺陽生前好友尹正安，日前就到廣州哭祭李旺陽說：「壯志未酬身先亡，烈士九泉恨茫茫，今日誓言英靈前，不雪此恨非兒郎。」 李旺陽因在1989年組織工運，六四後被判監，在獄中慘遭酷刑，出獄時是由親友抬着出來。去年六四前夕他接受本港電視台專訪，哀悼六四，呼喊民主，節目播出後他再受迫害，於6月6日被發現站立吊死於醫院病房窗前。當局稱李旺陽自殺，但是外界認為是謊言。事件在本港以至海外掀起怒潮，並延續到至今。 李旺陽忌日將到，香港一群年輕人連日來以舊式印刷機趕製一萬張字條，宣傳將於今年7.1出版的《我們都是李旺陽詩集》，那是李旺陽離世後文人們為悼念他寫的新詩合輯，字條會在今晚維園六四集會派發。 要瞭解更多六四人和事，為死難者留下悼念的燭光， 請即登入蘋果【六四專頁】:  http://6471.appledaily.com/  
20130604-8,20130604,8,港大學生會譴責中共,港大學生會譴責中共 港大學生會昨向國家主席習近平發六四公開信，譴責中共政權扭曲歷史，以經濟數字蒙蔽人民雙目，掩蓋六四血腥鎮壓真相。學生會指當日人民反貪腐訴求未被聆聽，引致今天嚴重貧富懸殊，更令中國當局權力無限膨脹。 中聯辦拒派員接信 學生會代表昨到中聯辦，希望將信件轉交中共最高領導人，惟中聯辦拒派員接信。港大學生會會長鄧日朗指發表公開信是希望中共誠實面對人民，還原六四事件的歷史真相。學生會要求中共調查六四真相，追究武力鎮壓責任，向死難者家屬道歉及賠償，並即時釋放所有政治犯。學生會今日會按照傳統，為校內太古橋的六四輓聯重新掃上油漆，並呼籲同學出席維園六四集會。 此外，九龍塘城大六四紀念館昨不斷有參觀者翻閱書刊相冊，觀看紀錄片段。82歲的郭伯伯，1989年他還在工廠打工，憶述血腥鎮壓的消息傳到耳中，仍然心痛，「日日睇住（新聞消息），乜嘢希望都幻滅晒，呢個正式係謊言國家」。家住沙田的他，昨日特意前來紀念館，拿着相機把資料都拍下來，「我年紀大，精神唔係咁好，先幾年有去，舊年開始冇去」。 要瞭解更多六四人和事，為死難者留下悼念的燭光， 請即登入蘋果【六四專頁】:  http://6471.appledaily.com/  
20130604-9,20130604,9,六四燭光遍世界各地,六四燭光遍世界各地 悼念六四的燭光無法在中國公開燃點，卻阻不了追求民主自由的光芒普世照耀。海外民運人士今年繼續在世界各地悼念六四，其中流亡海外民運人士最集中的美國紐約，會在當地時間的6月4日下午舉行「紐約六四紀念大會」。 魏京生籲港人要團結 紐約六四紀念大會在中國駐紐約總領館對面舉行，參與紀念大會的著名民運人士還包括楊建利、呂京花、魏京生、吾爾開希、王軍濤等。港人今年對於應否悼念六四以致相關口號出現分歧，魏京生特別呼籲港人要團結對抗暴政：「你們香港人的利益是一致的。香港的法制和自由，就是你們大家的飯碗。沒有了香港人的團結，你們很快就會淪為和大陸人一樣的賤民。請相信你們香港人沒有特異功能，也不比大陸人民更聰明。能做的就是按照常識和自己人團結一致保衞共同的生存基礎。」 六四燭光還會分佈於泰國、德國、法國與日本等地，當中一群移居泰國的民運人士已於上周六先行舉辦悼念活動。在泰國曼谷的「六四24周年紀念會」上，社民黨兼民聯泰國分部負責人周光福譴責中共獨裁政權於1989年屠殺在天安門靜坐的學生。 要瞭解更多六四人和事，為死難者留下悼念的燭光， 請即登入蘋果【六四專頁】:  http://6471.appledaily.com/  
