key,date,article_daily_id,title,text
20120117-0,20120117,0,去年每箱賣$16.7萬　今年$10萬有找經濟不景　紅酒炒家收手　天價Lafite爆煲,"去年每箱賣$16.7萬　今年$10萬有找 經濟不景　紅酒炒家收手　天價Lafite爆煲 【本報訊】懂得紅酒的人，應該知道法國五大酒莊屬全球最貴紅酒之一，當中尤以Lafite名氣最響。但這位法國波爾多王者（ChateauLafiteRothschild）跌落凡間，當中08年的Lafite一年間價格暴瀉超過四成，買咗分分鐘慘過炒港股，受累環球經濟不景氣，全球紅酒價格一樣跌，跌幅逾兩成。 記者：陳皓怡、黃玉麗 近年內地同胞熱捧的82年Lafite，其王位岌岌可危。去年中本港一個紅酒拍賣會上，一箱12支Lafite紅酒賣70萬元，每支平均近6萬元，現時毋須50萬元一箱就有交易，跌幅約33%。不過若計跌勢最急的，可算是08年Lafite。權威葡萄酒雜誌《Decanter》新近一篇文章指，08年Lafite由去年1月每箱16.7萬元，跌至本月的每箱9.65萬元，跌幅42%，成為大輸家。 去年港拍賣會現流拍 紅酒與港股、樓市沒有分別，Lafite強大購買力有賴同胞。資料顯示，內地過去10年Lafite價格走勢每年竟有三成漲幅，跑贏同儕，而08年Lafite更出現嚴重泡沫，「呢支酒酒莊擺咗個中國八字喺樽面度，其後由120歐元升至1,400幾歐元，升近12倍，支酒質素非常好，但就炒得過熱，故升得越快跌得更快」。香港最大葡萄酒入口商之一的大亞洋酒，其創辦人龐建貽解釋，該款Lafite每支都印有一個紅色浮雕的中國數目字「八」，由於「八」和「發」有諧音，令08年Lafite酒價暴漲。 至於一般紅酒均呈跌勢，在紅酒市場最具指標性的Liv-exFineWine100指數，早於半年前已預示高級紅酒銷情的跌勢，指數於去年6月升至99年指數成立以來的歷史高位，高見364.69，其後拾級而下，12月底已跌至286.33，創年半以來新低，由高位挫兩成。 而紅酒拍賣亦於去年底響起警號，去年10月本港一個大型的紅酒拍賣會中，出現流拍，821個拍賣品之中有59個流拍。 VinumFineWines助理銷售經理吳丹表示，整體紅酒銷售及價格下跌了兩成，當中Lafite跌價兩至三成，「三個月有四個拍賣會，所以客人會少了」。另外，國內同胞亦轉戰其他酒類，餐廳BoInnovation品酒師吳達銘稱，「國內人鍾意試新嘢，又重口味，現時的人都好鍾意飲威士忌XO，以軒尼詩XO為例，自去年10月，市面上1,300至1,400港元一支，現時短短三個月已升至2,000至2,400元，翻了個Double」。 中央收緊銀根即跌價 近年投資紅酒利潤高，今次紅酒冧價無疑令好多酒花投資者損手，受到內地上半年銀根放鬆影響，資金充裕下令紅酒價格升得急，但中央下半年閂水喉，令高級紅酒跌勢加快。「投資紅酒都好受外圍的經濟影響，同股市樓市都一樣，上年頭三季都有增長，最後一季需求回軟加速跌勢，大家都有心理準備升得咁快都會回落」。紅酒回歸基本都是視乎供求的問題，故紅酒價格能否重現升浪，視乎環球經濟能否改善。 至於波爾多五大酒莊是否明日黃花？龐建貽指現時還言之尚早，「Lafite以外，其他四大酒莊都有一定嘅捧場客，之前冇炒賣得咁嚴重，對於買家嚟講，酒佢哋都會繼續去飲」。"
20120117-1,20120117,1,大學生搵工　四年來最艱難起薪點約八千元　金融IT業較差,"大學生搵工　四年來最艱難 起薪點約八千元　金融IT業較差 【本報訊】全球經濟疲弱及歐債危機陰霾下，人事顧問指今年經濟是08年金融海嘯以來最不景氣，預測應屆大學畢業生，起薪點約為8,000元，部份工種更可能降至最低工資7,000多元。其中金融、出口、資訊科技界行業受經濟影響較大，會減少吸納新血。多間大學已着手為應屆畢業生預備就業講座，提醒畢業生及早搵工供求職資訊。　記者：彭美芳 中原人力資源顧問有限公司董事總經理周綺萍預測，今年經濟較差，大學生搵工難，去年畢業生入職有過萬薪金，但今年相信低於一萬元，「無工作經驗嘅大學畢業生唔一定搵到嘢做，估計八、九千蚊起跳啦，有啲七千幾都有可能。」她指2012年繼08年以來經濟最差的時候，金融、地產、進出口等行業最先「祭旗」，職位相信會較少；相反旅遊、飲食及醫療行業仍有大量需求，建議學生可「主打」這類工種。 鼓勵多聘應屆畢業生 昨日浸大舉行年度僱主午餐會，約400名僱主及約100名浸大應屆畢業生參加。參加者之一、海洋公園行政總裁苗樂文表示，今年會聘請250至300名大學畢業生，應付即將開幕的冰極天地、動感天地等設施，起薪點八至九千元起，專業部門起薪點逾萬元，苗樂文不擔心環球經濟危機，相信農曆年海洋公園入場人數超去年。 大家樂主席陳裕光昨日透露，今年將招聘100名大學畢業生，任職中層即主任至副經理級，起薪點逾萬，他坦言：「好難請到大學生。」他指出，港人外出用膳多，快餐服務需求大，故生意未受環球市場影響。 不過，浸大校董會主席、新昌建造副主席王英偉則指，今年聘請約100人以下，較去年20人為多，相信本地大型工程仍求新血補充，起薪點逾萬元，比去年增一成。他昨日在午餐會致辭時打趣地說：「好的學生也需要工作，要開飯。」鼓勵僱主多聘請應屆畢業生，給時間畢業生適應工作環境。 籲學生及早作好準備 浸大就業輔導中心主管黃志添建議，應屆畢業生應在現在開始準備個人履歷表、求職信等，農曆新年後要寄信求職，「今年經濟唔好，同學要及早準備，唔好懶懶閒，預留畢業前三、四個月搵工。」他分析四大會計師樓去12月開始逐步發放聘書，但數量較以往少，反映僱主審慎請人，不願冒險一次過大量招聘。 中大及嶺大設有特別的就業服務，中大今學年有百多個就業講座及工作坊，而嶺大也發動校董會個人網絡，協助同學就業，推出「事件嶺航」及「卓育菁莪」計劃，讓校友及專家讓同學了解各行業。"
20120117-2,20120117,2,更新質素指標　清新空氣要錢買電費或需分階段加兩成,"更新質素指標　清新空氣要錢買 電費或需分階段加兩成 【本報訊】環境局昨終於落實更新1987年起沿用至今的空氣質素指標（AQO），但未有一次過引入最嚴謹的世衞空氣質素指引標準，部份污染物排放上限只採納較寬鬆的世衞中期目標。環境局指，增加天然氣發電比例及資助高排放巴士加裝催化還原器等措施，有助令空氣質素符合新指標。然而，市民可能要為清新空氣付出代價，面對分階段加電費20%的現實。記者：蔡建豪 環境局09年為更新AQO諮詢公眾，久經拖延，昨日終落實將更改沿用25年的過時指標。建議更新的指標中，二氧化硫10分鐘平均濃度、二氧化氮、一氧化碳、鉛等污染物，均採納最嚴謹的世衞空氣質素指引，指標也將微細懸浮粒子（PM2.5）的濃度水平納入規管，但只採用最寬鬆的世衞中期目標。 更嚴謹的指標，必須有措施配合，政府諮詢時已提出19項措施，包括本地天然氣發電比例由不足30%提升至50%、提早淘汰舊式高污染車輛、引入電動車等。目前所有措施處於執行階段或已完成。 政府去年提出3項額外措施，包括資助歐盟二期及三期專營巴士安裝催化器，以及遙距監測高排放車輛等。 大部份措施由政府負擔 公眾或需為清新空氣付出代價。環境局諮詢時已提出，若將天然氣發電比例增至50%，電費將較09年水平分階段上升達20%。若要在2015年前更換3,000輛舊式巴士，巴士費也有最少加20%的壓力。政府最終沒有硬推取締舊式巴士。環境局局長邱騰華昨承認，增加天然氣發電的成本已反映在電費增幅上，其他措施的推行成本大部份由政府負擔。 邱騰華表示，更新的AQO與歐盟及美國採納的標準相若，稍後需修訂現行的《空氣污染管制條例》，期望下個立法年度提交修訂條例草案，預期新指標2014年生效。政府會每五年檢討已收緊的AQO的可行性，並會制訂相應改善空氣質素方案。 團體轟不採更嚴格標準 多個環保組織歡迎政府更新過時的AQO，但對政府採納相對寬鬆的標準感失望。健康空氣行動指出，更新AQO納入規管的PM2.5的超標日數約為每年10日，若採納更嚴謹的世衞標準，每年超標日數將是驚人的逾200日，本港PM2.5水平較印度及孟加拉等發展中國家更差。地球之友也批評，PM2.5採納最寬鬆標準，反映政府沒有決心對抗空氣污染。 綠色和平認為，更新AQO最多只能防止空氣質素惡化，未能改善空氣污染，政府應縮短檢討AQO的年期，盡快全面引入世衞空氣質素指引標準。"
20120117-3,20120117,3,影響基建第三跑道環評要升級,影響基建 第三跑道環評要升級 環境局落實更新空氣質素指標，意味日後工程做環境影響評估時，需符合更嚴謹的空氣質素標準。政府初步決定新指標生效時，為已完成環評程序的工程提供36個月過渡期。機場管理局昨表示，若落實興建第三條跑道，將採用新的空氣質素指標作為空氣質素影響評估的基準。 工程有36個月過渡期 更新指標後，基建項目的環評要符合更高的空氣質素標準。環境局局長邱騰華表示，2014年新指標生效後，會提供36個月寬限過渡期，而新指標不適用於更改環境許可證的申請。 邱騰華表示，新指標生效前，由政府作為項目倡議人、尚未開始的所有工程項目，將會致力以新指標作環評的空氣質素影響評估。對於機管局倡議的第三條機場跑道工程，他希望採納新指引作環評基準。他承認收緊指標後部份政府工程項目的開支或會上升，但指政府會負責額外開支。 機管局發言人昨表示，若政府落實興建第三條跑道，環評研究會採用新的空氣質素指標作為評估工程對空氣質素影響的基準。該局在環評過程中，會探討一切可行紓緩措施應對問題。 民間團體環保觸覺指出，目前環評的最大弊病是由工程倡議人聘用顧問公司，為求環評報告過關，會樂觀假設數據，更新指標某程度上只是要求顧問更有技巧地「篤數」，第三條跑道等高污染項目仍能蒙混過關。 《蘋果》記者
20120117-4,20120117,4,為心儀職業最低工資也接受,為心儀職業最低工資也接受 【本報訊】經濟不景氣令部份學生面對殘酷現實，有應屆畢業生望能從事廣告專業，連最低工資也願意接受。本港中小企推動實習計劃，希望吸引年青人「入行」，進攻內地及印度等新興市場。 浸大社會學三年級生鄧粵麟，今年暑假將畢業，他早在上月已為求職作好準備，因2012年經濟不景氣，已及早寫好履歷表及相關文件，「其實預咗呢行（廣告）開頭收入唔高，要由低做起，加上經濟唔好，最低工資都可以接受。」 實習計劃吸引投身工業界 本港年青人多投入金融、媒體市場，較少人願意加入工業，香港青年工業家協會於2010年開始大學生實習計劃，把大學生引入工業界，2012年有約400名學生競爭50個空缺，情況和以往相若。 但由於本港學生對工作要求高，港生態度令僱主感詫異，該會旗下的工業青年委員會主席梁嘉威表示，曾有年青人上班首日只觀察公司裝潢，翌日冇再上班，也冇遞交辭職信就「人間蒸發」，態度很差，他建議，年青人應由低做起，工業界有發展前景，不應低估工業的潛力。 該會副會長陳偉文表示，本港的玩具、電子產品受到經濟不景影響，未來出口差，訂單少，但紡織品、手表等工業訂單多，鼓勵設計、工程等專業畢業生入行。
20120117-5,20120117,5,港鐵進食釀中港罵戰,"港鐵進食釀中港罵戰 【本報訊】香港人「仇內」情緒一觸即發，網上熱傳「香港人大戰大陸人」短片，有本港乘客不滿內地旅客在港鐵車廂內吃零食，演變成中港罵戰。港人一度阻止列車開出，要港鐵職員上車執法。內地客罵港人小題大造：「講清楚就成了，還要怎樣？」港人則大罵：「呢度係香港地方嚟㗎！」 勸喻大陸人反遭譏笑 拍攝片段的市民陳先生昨晚本報表示，當時內地客未有理會該港人勸告，反譏笑對方普通話，引起對方強烈反應。 網民Kbdrose1日前在Youtube上載了「火車內罵戰香港人大戰大陸人」短片，分兩段，共約4分鐘。短片一開始，一男一女港人乘客阻止車門關上，男大叫：「有冇嘢講，道歉就得㗎啦！」一內地女子不滿地反駁：「講清楚就成了，有這麼大的事嗎？還要怎樣？」此時，一內地小孩突然插話：「是老媽不對。」另一內地女子即示意她閉嘴。 其後港鐵職員上車，列車隨即開動。港人男乘客激動地投訴：「佢哋喺度食點心麪，跌到周圍都係，我哋同佢講唔可以食嘢，佢搵人鬧返我哋。點呀？呢度係香港地方嚟㗎！」港鐵職員要求全部人在下一站下車處理，一內地女子解釋只是小孩子不小心，但另一內地女子繼續與港人乘客對罵，男乘客最後大喝：「佢哋大陸人係咁，唔使同佢講，落車！」 港鐵發言人表示，事件前日下午3時10分於東鐵旺角東站往羅湖方向列車上發生，職員即時上車處理，班次無受阻，兩批人在九龍塘下車。港鐵提醒內地客，車廂不准飲食，但並無檢控，雙方最後離開。 短片至昨晚吸引到8,000多人瀏覽，有網民讚男乘客正義、有勇氣，但也有網民認為只是小孩吃東西，且不少港人也在車廂內飲食。 理工大學應用社會科學系副教授何國良指，標籤內地人，動不動劍拔弩張，只會令雙方矛盾更嚴重。"
20120117-6,20120117,6,性命攸關污氣每年害死3200人,"性命攸關 污氣每年害死3200人 香港大學根據最新數據及更嚴謹準則，更新了2008年推出的達理指數，更準確反映香港空氣污染水平及帶來的經濟和健康損失。修訂指數後發現，過去五年平均每年因空氣污染而提早死亡者，由上年度估計的1,000人增至3,200人。 港大修訂達理指數 港大醫學院公共衞生學院名譽教授賀達理表示，以他命名的達理指數依照世界衞生組織的空氣質素指引作準則。該學院的助理教授黎克勤博士指出，修訂指數主要受三個因素影響：計算影響香港最嚴重的主要污染物，由過去的懸浮粒子（PM10）改為二氧化氮；統一使用較嚴謹的參考水平，即二氧化硫及臭氧的參考水平，由世衞短期指引收緊為年度指引；採用更嚴謹和準確的額外死亡人數及入院次數風險評估應用系數。 該學院院長林大慶批評，香港環境保護署現行的空氣污染指數標準過時，沒有參考價值，且嚴重誤導公眾。《蘋果》記者"
20120117-7,20120117,7,警方濫捕　拉440示威者　僅控46人,警方濫捕　拉440示威者　僅控46人 【本報訊】警方去年拘捕440名示威人士，是前年的7.3倍，當中卻只有46人被起訴，另230多人接獲律政司的書面通知書，指他們違法，但獲不起訴。多名立法會議員質疑有關通知書的法律理據，又質疑警方濫捕。有關注警權組織批評當局選擇性檢控以打壓遊行示威。律政司解釋，檢控主要的參與人士及向其餘人士發出警誡信，是恰當和合法的。 警務處長曾偉雄昨向立法會保安事務委員會交代去年工作。去年警方拘捕440名示威者，較前年的53人激增7.3倍。當中397人是去年3月反預算案遊行、六四燭光集會後及七一遊行後三次大型示威中被捕。曾稱，其中46人被起訴，另逾230名沒被檢控的被捕人士接獲律政司書面通知書指他們已違法，但不予起訴。 違法通知書欠法律理據 多名立法會議員表示，不清楚書面通知書的內容及法律理據。民主黨立法會議員何俊仁批評，通知書一口咬定涉案者違法，卻不檢控，做法不當，質疑警方濫捕，「你話佢犯法，但又唔告佢，咁難免令人覺得警方當初係不必要拉咁多人，律政司咁做係為警方有下台階」。委員會主席涂謹申要求警方向律政司索取通知書內容及性質等資料。 曾偉雄在其後記者會上否認警方濫捕示威者，指所有起訴由律政司決定，警方只是依法辦事。他又稱，因應今年回歸15周年，屆時會有多項慶祝及公眾活動，警方已成立工作小組展開前期工作，由一警司及一總督察負責，與相關政府部門及機構聯繫，並會吸取去年副總理李克強訪港時警方收到投訴的經驗。但他無正面回應警方會否放寬處理遊行示威。 民陣警權關注組成員王浩賢指出，警方過去一年多次引用《公安條例》的非法集會罪拘捕示威者，反映警方及律政司進一步收窄遊行示威空間。他又質疑書面通知書的法律理據，「未經審訊就話已經違法，咁有違無罪假定嘅法律基本定義，律政司要解釋」。 律政司回應，因應案件情況，向參與未經批准集結的人士發警誡信而不提檢控，做法恰當，有關集會造成公眾滋擾及破壞，檢控主要參與者及向其餘人士發警誡信最符公眾利益。
20120117-8,20120117,8,人球女童慘遭棄街頭,人球女童慘遭棄街頭 【本報訊】東涌一宗虐兒案，揭開6歲苦命女童被當人球的悲歌。一對中年父母不滿「連追三次都係女」，把三女慧慧先後交予內地友人夫婦及外公外婆撫養，豈料友人其後逝世，加上父母婚姻破裂，女童被視為「掃把星」，去年中始接回東涌居住，惟一直被冷待。前午父親把她送到圖書館後離去，令她遺棄街頭數小時，幸途人發現報警。其父母涉虐兒及疏忽照顧被捕，然而其母揚言心淡，打算為女兒回鄉證續期，把她送返鄉間繼續人球生涯。 被視為「掃把星」 被父母視為「掃把星」的6歲東涌悲情女童慧慧，是陳家第三名女兒。同是腹中出，理應視如至親對待，但慧慧家中排名，竟令她成為一個沒有家的女孩。 現年45歲的慧慧母親透露，早年與丈夫結婚後，丈夫冀後繼有人，惟肚皮不爭氣，兩次所出均是女兒。至第三次懷有慧慧，丈夫得知「又係女」提出墮胎，惟她堅持誕下人間，但這竟卻成婚姻觸礁的導火線，丈夫歸家次數日減，更在深圳包二奶。直至她第四度懷有現年四歲的孻子後，才重獲丈夫重視，每月給予千餘元家用支付兒子所需。 父親的冷漠，加上母親視她為婚姻破裂元凶，慧慧出生便注定到處流浪。呱呱大哭的她脫離娘胎不久，即交予陸豐縣男性友人家中寄養，慧慧父母對她的責任，只限每月定期繳交數百元養育費，從不噓寒問暖。豈料慧慧3歲大時，友人猝然離世，慧慧被視為「陀衰家」，遭「養母」掃出家門。陳母無奈下只好把慧慧轉交深圳外公外婆寄住。 父母涉虐兒被捕 至去年7月，陳父突把慧慧接回東涌逸東邨寓所生活，但慧慧並不因重新歸家，獲父母肯定，由於她長年身在內地，語言不通，在家中表現反叛，更曾偷偷在櫃內取走數千港元，花費吃喝，陳母在搜查慧慧校褸書包後揭發，對她更是愛理不理。 消息指，前日下午，慧慧由陳父帶到東涌公共圖書館內，囑咐她好好看書，稍後接回，豈料一去不返。傍晚圖書館關門後，慧慧先後在逸東邨商場及快餐店流連，4小時後途人發現她可憐瑟縮商場一角，生疑報警。警員檢查下發現她頭部有瘀傷，登門以涉嫌虐兒及疏忽照顧罪拘捕慧慧父母，經調查後准予兩人保釋候查。 社署發言人回應正由社工跟進個案，將召開專業個案會議，商討慧慧的福利計劃。 慧慧人球生涯示意圖
20120117-9,20120117,9,護老院欲改建龕場招不滿,"護老院欲改建龕場招不滿 【本報訊】位於粉嶺蝴蝶山的恩怡護老之家，被入紙向城規會申請，改建為設有10,000個雙龕位的私營骨灰龕場，惹起附近居民強烈不滿，昨發起街頭簽名運動，計劃將收集到的居民簽名遞交城規會，表達反對意見。而地政總署人員昨到屯門私營龕場極樂寺，張貼告示要求在今年4月16日前，將非法佔用官地上的建築物拆除。 根據城規會文件，恩怡護老之家所處土地本屬綠化地帶，土地業主上月向城規會申請，將規劃用途改為「政府、機構或社區」地帶，以便日後興建設有10,000個雙龕位的私營龕場。該幅土地位處合規格私營龕場觀宗寺對面，也毗鄰違規龕場蓬瀛仙館。 極樂寺遭飭令清拆 上述土地同時鄰近不少民居，例如廣福苑、豪峰嶺及富康園等。豪峰嶺業主立案法團主席張國銳指，附近居民均反對將護老之家改建骨灰龕，故昨起於粉嶺港鐵站收集街坊簽名，在城規會下月討論有關申請前向該會表達反對意見。 另外，擁有4,900個龕位的屯門極樂寺，本月初因有部分建築非法佔用土地被罰款13,200元後，因仍未完全拆除有關建築物，昨被地政總署張貼告示，飭令今年4月16日前完成清拆行動。 至於最近被納入合規格私營龕場的慈雲山志蓮靜苑普同塔，則向城規會申請，要求獲准於場內燃燒香燭冥強，城規會將於3月23日討論有關申請。"
